flowtime, d1, d2, d3
6.2, 0.9999999999999843 + 4.336808689942018e-18im, 0.9999999999999917 + 9.486769009248164e-19im, 0.9999999999999973 + 3.469446951953614e-18im
6.3, 0.9999999999999846 + 3.903127820947816e-18im, 0.9999999999999912 + 1.043544591017298e-18im, 0.9999999999999991 + 6.938893903907228e-18im
6.4, 0.9999999999999841 + 3.469446951953614e-18im, 0.999999999999991 + 1.111307226797642e-18im, 0.9999999999999984 + 1.3877787807814457e-17im
6.5, 0.9999999999999843 + 3.469446951953614e-18im, 0.9999999999999897 + 1.1248597539537109e-18im, 0.9999999999999983 + 3.469446951953614e-18im
6.6, 0.9999999999999836 + 3.2526065174565133e-18im, 0.9999999999999896 + 1.0842021724855044e-18im, 1.0000000000000004 + 6.938893903907228e-18im
6.7, 0.9999999999999847 + 3.903127820947816e-18im, 0.9999999999999903 + 1.0977546996415732e-18im, 1.0000000000000009 + 1.3877787807814457e-17im
6.8, 0.9999999999999862 + 3.469446951953614e-18im, 0.9999999999999915 + 1.0842021724855044e-18im, 1.000000000000004 + 1.0408340855860843e-17im
6.9, 0.9999999999999852 + 3.0357660829594124e-18im, 0.999999999999991 + 1.0977546996415732e-18im, 1.0000000000000049 + 3.469446951953614e-18im
7.0, 0.9999999999999842 + 3.0357660829594124e-18im, 0.9999999999999918 + 1.0367683274392636e-18im, 1.0000000000000058 + 1.0408340855860843e-17im
7.1, 0.9999999999999859 + 2.6020852139652106e-18im, 0.9999999999999932 + 1.0333801956502464e-18im, 1.000000000000005 + 2.0816681711721685e-17im
7.2, 0.9999999999999876 + 1.951563910473908e-18im, 0.9999999999999933 + 1.026603932072212e-18im, 1.0000000000000062 + 3.469446951953614e-17im
7.3, 0.9999999999999871 + 2.3852447794681098e-18im, 0.9999999999999919 + 1.0401564592282808e-18im, 1.0000000000000047 + 3.8163916471489756e-17im
7.4, 0.9999999999999855 + 2.3852447794681098e-18im, 0.9999999999999929 + 1.0367683274392636e-18im, 1.000000000000005 + 3.122502256758253e-17im
7.5, 0.9999999999999872 + 2.3852447794681098e-18im, 0.9999999999999933 + 1.0410034921755351e-18im, 1.0000000000000056 + 3.8163916471489756e-17im
7.6, 0.9999999999999883 + 2.8189256484623115e-18im, 0.9999999999999912 + 1.0333801956502464e-18im, 1.0000000000000062 + 4.163336342344337e-17im
7.7, 0.9999999999999889 + 2.6020852139652106e-18im, 0.9999999999999919 + 1.0469327228063152e-18im, 1.0000000000000084 + 4.163336342344337e-17im
7.8, 0.9999999999999856 + 2.168404344971009e-18im, 0.999999999999991 + 1.0503208545953324e-18im, 1.0000000000000082 + 5.551115123125783e-17im
7.9, 0.9999999999999837 + 2.8189256484623115e-18im, 0.9999999999999912 + 1.0232158002831948e-18im, 1.0000000000000109 + 5.204170427930421e-17im
8.0, 0.999999999999983 + 2.3852447794681098e-18im, 0.9999999999999926 + 9.893344823930228e-19im, 1.000000000000009 + 5.551115123125783e-17im
8.1, 0.9999999999999827 + 2.6020852139652106e-18im, 0.999999999999994 + 9.75781955236954e-19im, 1.0000000000000104 + 6.938893903907228e-17im
8.2, 0.9999999999999816 + 1.951563910473908e-18im, 0.9999999999999947 + 9.75781955236954e-19im, 1.0000000000000093 + 5.898059818321144e-17im
8.3, 0.9999999999999816 + 1.3010426069826053e-18im, 0.9999999999999949 + 1.0299920638612292e-18im, 1.0000000000000109 + 5.551115123125783e-17im
8.4, 0.9999999999999832 + 1.3010426069826053e-18im, 0.9999999999999964 + 1.043544591017298e-18im, 1.0000000000000122 + 5.551115123125783e-17im
8.5, 0.9999999999999832 + 1.951563910473908e-18im, 0.9999999999999968 + 1.0706496453294356e-18im, 1.0000000000000122 + 5.204170427930421e-17im
8.6, 0.999999999999981 + 1.5178830414797062e-18im, 0.9999999999999954 + 1.0842021724855044e-18im, 1.0000000000000127 + 7.28583859910259e-17im
8.7, 0.9999999999999837 + 2.3852447794681098e-18im, 0.9999999999999954 + 1.0164395367051604e-18im, 1.0000000000000147 + 6.245004513516506e-17im
8.8, 0.9999999999999825 + 3.0357660829594124e-18im, 0.9999999999999982 + 1.0977546996415732e-18im, 1.0000000000000147 + 5.898059818321144e-17im
8.9, 0.9999999999999865 + 3.0357660829594124e-18im, 0.9999999999999994 + 1.0842021724855044e-18im, 1.0000000000000162 + 6.591949208711867e-17im
9.0, 0.9999999999999881 + 2.8189256484623115e-18im, 1.0000000000000016 + 1.043544591017298e-18im, 1.0000000000000162 + 7.979727989493313e-17im
9.1, 0.999999999999989 + 3.2526065174565133e-18im, 1.0000000000000013 + 1.0299920638612292e-18im, 1.0000000000000142 + 8.673617379884035e-17im
9.2, 0.9999999999999901 + 2.8189256484623115e-18im, 0.9999999999999981 + 8.402566836762659e-19im, 1.0000000000000153 + 9.020562075079397e-17im
9.3, 0.9999999999999898 + 2.3852447794681098e-18im, 0.9999999999999964 + 9.75781955236954e-19im, 1.0000000000000147 + 9.020562075079397e-17im
9.4, 0.999999999999989 + 1.951563910473908e-18im, 0.9999999999999951 + 1.0570971181733668e-18im, 1.000000000000015 + 1.0408340855860843e-16im
9.5, 0.9999999999999876 + 2.6020852139652106e-18im, 0.9999999999999963 + 1.2197274440461925e-18im, 1.0000000000000124 + 1.0408340855860843e-16im
