flowtime, d1, d2, d3
21.8, 1.0 + 0.0im, 0.999999999999978 - 4.336808689942018e-19im, 1.0 + 0.0im
21.9, 1.0 + 0.0im, 0.9999999999999781 + 0.0im, 1.0 + 0.0im
22.0, 1.0 + 0.0im, 0.9999999999999786 + 8.673617379884035e-19im, 1.0 + 0.0im
22.1, 1.0 + 0.0im, 0.9999999999999784 + 8.673617379884035e-19im, 1.0 + 0.0im
22.2, 1.0 + 0.0im, 0.9999999999999759 + 8.673617379884035e-19im, 1.0 + 0.0im
22.3, 1.0 + 0.0im, 0.999999999999973 + 3.0357660829594124e-18im, 1.0 + 0.0im
22.4, 1.0 + 0.0im, 0.9999999999999711 + 1.3010426069826053e-18im, 1.0 + 0.0im
22.5, 1.0 + 0.0im, 0.9999999999999705 - 1.3010426069826053e-18im, 1.0 + 0.0im
22.6, 1.0 + 0.0im, 0.9999999999999709 - 3.0357660829594124e-18im, 1.0 + 0.0im
22.7, 1.0 + 0.0im, 0.9999999999999722 - 3.0357660829594124e-18im, 1.0 + 0.0im
22.8, 1.0 + 0.0im, 0.9999999999999708 - 3.903127820947816e-18im, 1.0 + 0.0im
22.9, 1.0 + 0.0im, 0.999999999999972 - 4.336808689942018e-18im, 1.0 + 0.0im
23.0, 1.0 + 0.0im, 0.9999999999999719 - 1.734723475976807e-18im, 1.0 + 0.0im
23.1, 1.0 + 0.0im, 0.9999999999999726 + 1.3010426069826053e-18im, 1.0 + 0.0im
23.2, 1.0 + 0.0im, 0.999999999999973 + 3.0357660829594124e-18im, 1.0 + 0.0im
23.3, 1.0 + 0.0im, 0.9999999999999711 + 4.336808689942018e-18im, 1.0 + 0.0im
23.4, 1.0 + 0.0im, 0.9999999999999707 + 5.637851296924623e-18im, 1.0 + 0.0im
23.5, 1.0 + 0.0im, 0.9999999999999724 + 4.336808689942018e-18im, 1.0 + 0.0im
23.6, 1.0 + 0.0im, 0.9999999999999731 + 3.903127820947816e-18im, 1.0 + 0.0im
23.7, 1.0 + 0.0im, 0.9999999999999731 + 5.204170427930421e-18im, 1.0 + 0.0im
23.8, 1.0 + 0.0im, 0.9999999999999726 + 4.336808689942018e-18im, 1.0 + 0.0im
23.9, 1.0 + 0.0im, 0.999999999999974 + 3.469446951953614e-18im, 1.0 + 0.0im
24.0, 1.0 + 0.0im, 0.9999999999999738 - 8.673617379884035e-19im, 1.0 + 0.0im
24.1, 1.0 + 0.0im, 0.99999999999997 - 3.469446951953614e-18im, 1.0 + 0.0im
24.2, 1.0 + 0.0im, 0.9999999999999678 - 1.734723475976807e-18im, 1.0 + 0.0im
24.3, 1.0 + 0.0im, 0.9999999999999682 - 2.6020852139652106e-18im, 1.0 + 0.0im
24.4, 1.0 + 0.0im, 0.9999999999999684 - 1.734723475976807e-18im, 1.0 + 0.0im
24.5, 1.0 + 0.0im, 0.9999999999999692 + 8.673617379884035e-19im, 1.0 + 0.0im
24.6, 1.0 + 0.0im, 0.9999999999999701 + 0.0im, 1.0 + 0.0im
24.7, 1.0 + 0.0im, 0.9999999999999717 + 8.673617379884035e-19im, 1.0 + 0.0im
24.8, 1.0 + 0.0im, 0.9999999999999721 - 8.673617379884035e-19im, 1.0 + 0.0im
24.9, 1.0 + 0.0im, 0.9999999999999724 + 1.734723475976807e-18im, 1.0 + 0.0im
25.0, 1.0 + 0.0im, 0.9999999999999721 + 8.673617379884035e-19im, 1.0 + 0.0im
25.1, 1.0 + 0.0im, 0.9999999999999731 - 2.6020852139652106e-18im, 1.0 + 0.0im
25.2, 1.0 + 0.0im, 0.9999999999999742 - 8.673617379884035e-19im, 1.0 + 0.0im
25.3, 1.0 + 0.0im, 0.9999999999999738 + 0.0im, 1.0 + 0.0im
25.4, 1.0 + 0.0im, 0.9999999999999734 - 4.336808689942018e-18im, 1.0 + 0.0im
