flowtime, d1, d2, d3
8.1, 1.000000000000007 - 1.2490009027033011e-15im, 1.0000000000000049 - 6.519090822720841e-15im, 1.0000000000000009 - 5.001207781241135e-15im
8.2, 1.0000000000000075 - 1.6675029412827058e-15im, 1.0000000000000029 - 6.4254157550180935e-15im, 1.0 - 4.524158825347513e-15im
8.3, 1.0000000000000087 - 1.7208456881689926e-15im, 1.0000000000000038 - 6.328271240363392e-15im, 1.0000000000000004 - 4.496403249731884e-15im
8.4, 1.0000000000000098 - 1.6375789613221059e-15im, 1.000000000000002 - 6.514320333161905e-15im, 1.0000000000000013 - 4.496403249731884e-15im
8.5, 1.0000000000000082 - 1.7763568394002505e-15im, 1.0000000000000042 - 6.675215935558754e-15im, 1.0000000000000002 - 4.385380947269368e-15im
8.6, 1.0000000000000089 - 1.942890293094024e-15im, 1.0000000000000053 - 6.494804694057166e-15im, 1.0000000000000007 - 4.218847493575595e-15im
8.7, 1.0000000000000056 - 1.9984014443252818e-15im, 1.0000000000000049 - 6.647460359943125e-15im, 0.9999999999999996 - 4.163336342344337e-15im
8.8, 1.0000000000000058 - 1.7208456881689926e-15im, 1.0000000000000047 - 6.897260540483785e-15im, 1.0 - 4.107825191113079e-15im
8.9, 1.000000000000009 - 1.7763568394002505e-15im, 1.0000000000000038 - 7.0637939941775585e-15im, 1.0000000000000009 - 3.6637359812630166e-15im
9.0, 1.0000000000000107 - 1.4432899320127035e-15im, 1.0000000000000049 - 7.140121827120538e-15im, 1.0000000000000002 - 3.219646771412954e-15im
9.1, 1.000000000000011 - 1.4432899320127035e-15im, 1.0000000000000075 - 7.186959360971912e-15im, 0.9999999999999996 - 2.831068712794149e-15im
9.2, 1.0000000000000113 - 1.3877787807814457e-15im, 1.0000000000000082 - 7.216449660063518e-15im, 1.0000000000000007 - 2.220446049250313e-15im
9.3, 1.0000000000000118 - 1.429412144204889e-15im, 1.0000000000000087 - 7.188694084447889e-15im, 1.0000000000000007 - 2.55351295663786e-15im
9.4, 1.0000000000000124 - 1.124100812432971e-15im, 1.0000000000000084 - 6.855627177060342e-15im, 0.9999999999999994 - 2.275957200481571e-15im
9.5, 1.0000000000000133 - 1.1796119636642288e-15im, 1.0000000000000078 - 6.9111383282915995e-15im, 0.9999999999999974 - 2.3869795029440866e-15im
9.6, 1.0000000000000124 - 1.0824674490095276e-15im, 1.0000000000000067 - 7.022160630754115e-15im, 0.9999999999999982 - 2.609024107869118e-15im
9.7, 1.0000000000000135 - 9.853229343548264e-16im, 1.0000000000000044 - 6.966649479522857e-15im, 0.999999999999997 - 2.525757381022231e-15im
9.8, 1.0000000000000144 - 9.71445146547012e-16im, 1.000000000000004 - 6.689093723366568e-15im, 0.9999999999999983 - 2.7478019859472624e-15im
9.9, 1.0000000000000144 - 9.71445146547012e-16im, 1.000000000000004 - 6.661338147750939e-15im, 0.9999999999999982 - 2.858824288409778e-15im
10.0, 1.000000000000015 - 1.0130785099704553e-15im, 1.000000000000005 - 6.619704784327496e-15im, 1.0000000000000002 - 2.1649348980190553e-15im
10.1, 1.000000000000016 - 6.106226635438361e-16im, 1.0000000000000042 - 6.522560269672795e-15im, 0.9999999999999982 - 2.275957200481571e-15im
10.2, 1.0000000000000178 - 4.440892098500626e-16im, 1.0000000000000056 - 6.689093723366568e-15im, 0.9999999999999989 - 2.3869795029440866e-15im
10.3, 1.000000000000017 + 4.163336342344337e-17im, 1.0000000000000069 - 6.63358257213531e-15im, 0.9999999999999971 - 2.6645352591003757e-15im
