flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
18.9, 1.0000000000001676 - 2.0122792321330962e-16im, 1.0000000000000118 + 1.700029006457271e-16im, 1.0000000000000688 - 2.42861286636753e-17im, 1.0000000000000986 + 2.636779683484747e-16im, 1.0000000000000397 + 3.642919299551295e-17im, 1.0000000000000473 + 4.7704895589362195e-17im, 1.0000000000000784 + 1.824929096727601e-15im, 1.0000000000000582 + 5.637851296924623e-18im, 1.0000000000000475 - 1.231653667943533e-16im, 1.0000000000001068 + 3.677613769070831e-16im, 1.0000000000000544 + 1.0408340855860843e-17im, 1.0000000000000207 + 4.163336342344337e-17im, 1.0000000000000584 - 4.5102810375396984e-17im, 1.000000000000045 + 5.238864897449957e-16im, 1.0000000000000668 + 4.489274620447792e-20im
19.0, 1.0000000000001683 - 2.0122792321330962e-16im, 1.0000000000000122 + 1.717376241217039e-16im, 1.0000000000000688 - 1.9081958235744878e-17im, 1.0000000000001001 + 1.8041124150158794e-16im, 1.0000000000000395 + 3.5561831257524545e-17im, 1.0000000000000475 + 4.7271214720367993e-17im, 1.00000000000008 + 1.8318679906315083e-15im, 1.0000000000000602 + 5.637851296924623e-18im, 1.0000000000000477 - 1.231653667943533e-16im, 1.0000000000001081 + 3.7470027081099033e-16im, 1.0000000000000544 + 1.0408340855860843e-17im, 1.00000000000002 + 4.5102810375396984e-17im, 1.0000000000000577 - 4.5102810375396984e-17im, 1.0000000000000449 + 5.273559366969494e-16im, 1.0000000000000682 + 4.573977915173222e-20im
19.1, 1.00000000000017 - 2.0122792321330962e-16im, 1.0000000000000142 + 1.717376241217039e-16im, 1.000000000000069 - 2.0816681711721685e-17im, 1.000000000000103 + 1.1102230246251565e-16im, 1.0000000000000404 + 3.642919299551295e-17im, 1.000000000000047 + 4.7271214720367993e-17im, 1.0000000000000813 + 1.8318679906315083e-15im, 1.0000000000000595 + 5.204170427930421e-18im, 1.0000000000000475 - 1.214306433183765e-16im, 1.0000000000001086 + 3.8163916471489756e-16im, 1.0000000000000546 + 1.214306433183765e-17im, 1.0000000000000198 + 4.5102810375396984e-17im, 1.0000000000000577 - 4.85722573273506e-17im, 1.000000000000045 + 5.238864897449957e-16im, 1.0000000000000695 + 4.489274620447792e-20im
19.2, 1.0000000000001719 - 2.0469737016526324e-16im, 1.0000000000000158 + 1.717376241217039e-16im, 1.000000000000069 - 2.0816681711721685e-17im, 1.000000000000104 + 6.938893903907228e-17im, 1.0000000000000395 + 3.642919299551295e-17im, 1.0000000000000475 + 4.7704895589362195e-17im, 1.0000000000000824 + 1.824929096727601e-15im, 1.0000000000000577 + 5.637851296924623e-18im, 1.0000000000000477 - 1.231653667943533e-16im, 1.0000000000001095 + 3.7470027081099033e-16im, 1.0000000000000542 + 8.673617379884035e-18im, 1.0000000000000202 + 4.163336342344337e-17im, 1.0000000000000573 - 4.5102810375396984e-17im, 1.0000000000000462 + 5.238864897449957e-16im, 1.0000000000000706 + 4.573977915173222e-20im
19.3, 1.0000000000001736 - 2.0122792321330962e-16im, 1.0000000000000175 + 1.700029006457271e-16im, 1.00000000000007 - 2.42861286636753e-17im, 1.0000000000001046 + 1.5265566588595902e-16im, 1.0000000000000397 + 3.642919299551295e-17im, 1.0000000000000469 + 4.683753385137379e-17im, 1.0000000000000842 + 1.8318679906315083e-15im, 1.000000000000059 + 5.637851296924623e-18im, 1.0000000000000484 - 1.231653667943533e-16im, 1.00000000000011 + 3.7470027081099033e-16im, 1.0000000000000535 + 1.0408340855860843e-17im, 1.0000000000000213 + 4.5102810375396984e-17im, 1.0000000000000564 - 4.85722573273506e-17im, 1.0000000000000464 + 5.204170427930421e-16im, 1.000000000000072 + 4.489274620447792e-20im
19.4, 1.0000000000001747 - 2.0469737016526324e-16im, 1.0000000000000195 + 1.708702623837155e-16im, 1.0000000000000713 - 2.2551405187698492e-17im, 1.000000000000102 + 1.942890293094024e-16im, 1.00000000000004 + 3.5561831257524545e-17im, 1.0000000000000473 + 4.7704895589362195e-17im, 1.0000000000000853 + 1.8388068845354155e-15im, 1.0000000000000595 + 5.204170427930421e-18im, 1.0000000000000484 - 1.214306433183765e-16im, 1.0000000000001117 + 3.7470027081099033e-16im, 1.000000000000053 + 6.938893903907228e-18im, 1.0000000000000204 + 4.163336342344337e-17im, 1.0000000000000562 - 4.5102810375396984e-17im, 1.0000000000000466 + 5.204170427930421e-16im, 1.0000000000000728 + 4.489274620447792e-20im
19.5, 1.0000000000001759 - 2.0469737016526324e-16im, 1.0000000000000209 + 1.708702623837155e-16im, 1.000000000000072 - 2.2551405187698492e-17im, 1.000000000000099 + 2.220446049250313e-16im, 1.0000000000000393 + 3.642919299551295e-17im, 1.000000000000048 + 4.683753385137379e-17im, 1.0000000000000857 + 1.824929096727601e-15im, 1.000000000000059 + 5.204170427930421e-18im, 1.000000000000049 - 1.249000902703301e-16im, 1.0000000000001124 + 3.7470027081099033e-16im, 1.0000000000000535 + 6.938893903907228e-18im, 1.0000000000000209 + 4.5102810375396984e-17im, 1.000000000000056 - 4.5102810375396984e-17im, 1.0000000000000469 + 5.238864897449957e-16im, 1.0000000000000737 + 4.489274620447792e-20im
19.6, 1.0000000000001756 - 2.0122792321330962e-16im, 1.000000000000022 + 1.717376241217039e-16im, 1.000000000000073 - 2.2551405187698492e-17im, 1.0000000000000975 + 1.8041124150158794e-16im, 1.0000000000000393 + 3.642919299551295e-17im, 1.000000000000048 + 4.7271214720367993e-17im, 1.0000000000000868 + 1.8318679906315083e-15im, 1.0000000000000593 + 5.204170427930421e-18im, 1.0000000000000488 - 1.214306433183765e-16im, 1.0000000000001128 + 3.7470027081099033e-16im, 1.000000000000053 + 8.673617379884035e-18im, 1.0000000000000207 + 4.5102810375396984e-17im, 1.000000000000056 - 4.163336342344337e-17im, 1.0000000000000466 + 5.204170427930421e-16im, 1.0000000000000744 + 4.658681209898652e-20im
19.7, 1.000000000000177 - 2.0122792321330962e-16im, 1.0000000000000244 + 1.717376241217039e-16im, 1.0000000000000746 - 2.0816681711721685e-17im, 1.0000000000000973 + 1.8041124150158794e-16im, 1.0000000000000395 + 3.729655473350135e-17im, 1.000000000000048 + 4.7704895589362195e-17im, 1.000000000000088 + 1.8318679906315083e-15im, 1.0000000000000595 + 4.7704895589362195e-18im, 1.0000000000000495 - 1.214306433183765e-16im, 1.0000000000001135 + 3.7470027081099033e-16im, 1.0000000000000528 + 8.673617379884035e-18im, 1.0000000000000215 + 4.5102810375396984e-17im, 1.0000000000000562 - 4.5102810375396984e-17im, 1.0000000000000469 + 5.238864897449957e-16im, 1.0000000000000755 + 4.489274620447792e-20im
19.8, 1.0000000000001774 - 2.0122792321330962e-16im, 1.0000000000000255 + 1.717376241217039e-16im, 1.0000000000000757 - 2.42861286636753e-17im, 1.000000000000095 + 2.914335439641036e-16im, 1.0000000000000389 + 3.5561831257524545e-17im, 1.0000000000000486 + 4.8138576458356397e-17im, 1.0000000000000888 + 1.824929096727601e-15im, 1.00000000000006 + 5.637851296924623e-18im, 1.0000000000000502 - 1.214306433183765e-16im, 1.0000000000001155 + 3.7470027081099033e-16im, 1.0000000000000537 + 1.0408340855860843e-17im, 1.0000000000000213 + 4.5102810375396984e-17im, 1.000000000000056 - 4.5102810375396984e-17im, 1.0000000000000466 + 5.238864897449957e-16im, 1.0000000000000762 + 4.489274620447792e-20im
19.9, 1.0000000000001787 - 2.0122792321330962e-16im, 1.0000000000000273 + 1.708702623837155e-16im, 1.0000000000000762 - 2.2551405187698492e-17im, 1.0000000000000928 + 3.885780586188048e-16im, 1.0000000000000389 + 3.469446951953614e-17im, 1.0000000000000495 + 4.7704895589362195e-17im, 1.0000000000000902 + 1.8388068845354155e-15im, 1.0000000000000586 + 5.204170427930421e-18im, 1.000000000000051 - 1.214306433183765e-16im, 1.0000000000001157 + 3.677613769070831e-16im, 1.0000000000000537 + 8.673617379884035e-18im, 1.0000000000000218 + 4.5102810375396984e-17im, 1.0000000000000553 - 5.204170427930421e-17im, 1.0000000000000462 + 5.273559366969494e-16im, 1.0000000000000768 + 4.489274620447792e-20im
20.0, 1.0000000000001796 - 2.0122792321330962e-16im, 1.0000000000000286 + 1.708702623837155e-16im, 1.0000000000000755 - 1.9081958235744878e-17im, 1.000000000000094 + 4.718447854656915e-16im, 1.000000000000038 + 3.729655473350135e-17im, 1.00000000000005 + 4.7271214720367993e-17im, 1.0000000000000917 + 1.8318679906315083e-15im, 1.0000000000000584 + 5.204170427930421e-18im, 1.0000000000000508 - 1.249000902703301e-16im, 1.000000000000116 + 3.7470027081099033e-16im, 1.0000000000000533 + 1.0408340855860843e-17im, 1.0000000000000218 + 4.163336342344337e-17im, 1.0000000000000548 - 4.5102810375396984e-17im, 1.0000000000000464 + 5.273559366969494e-16im, 1.0000000000000775 + 4.573977915173222e-20im
