flowtime, d1, d2, d3
6.0, 1.000000000000008 - 2.8189256484623115e-18im, 1.0000000000000009 - 8.673617379884035e-18im, 0.9999999999999697 - 5.5294310796760726e-18im
6.1, 1.0000000000000029 - 3.469446951953614e-18im, 1.000000000000002 - 9.540979117872439e-18im, 0.9999999999999697 - 5.637851296924623e-18im
6.2, 0.9999999999999996 - 3.686287386450715e-18im, 1.0000000000000049 - 5.204170427930421e-18im, 0.9999999999999706 - 5.637851296924623e-18im
6.3, 0.9999999999999979 - 4.119968255444917e-18im, 1.0000000000000042 - 3.469446951953614e-18im, 0.9999999999999734 - 5.7462715141731735e-18im
6.4, 0.9999999999999979 - 3.686287386450715e-18im, 1.000000000000003 - 3.469446951953614e-18im, 0.9999999999999777 - 5.9631119486702744e-18im
6.5, 0.9999999999999959 - 4.119968255444917e-18im, 1.0000000000000024 - 1.734723475976807e-18im, 0.9999999999999784 - 5.637851296924623e-18im
6.6, 0.9999999999999921 - 4.7704895589362195e-18im, 1.0000000000000022 - 6.938893903907228e-18im, 0.9999999999999789 - 5.637851296924623e-18im
6.7, 0.9999999999999893 - 4.7704895589362195e-18im, 1.0 - 4.336808689942018e-18im, 0.9999999999999761 - 5.7462715141731735e-18im
6.8, 0.9999999999999875 - 4.7704895589362195e-18im, 0.9999999999999998 - 8.673617379884035e-18im, 0.9999999999999757 - 5.5294310796760726e-18im
6.9, 0.9999999999999901 - 4.7704895589362195e-18im, 0.9999999999999996 - 8.673617379884035e-18im, 0.9999999999999747 - 5.421010862427522e-18im
7.0, 0.9999999999999899 - 3.903127820947816e-18im, 1.0000000000000002 - 1.1275702593849246e-17im, 0.9999999999999706 - 5.312590645178972e-18im
7.1, 0.9999999999999941 - 3.2526065174565133e-18im, 1.0 - 8.673617379884035e-18im, 0.9999999999999717 - 5.204170427930421e-18im
7.2, 0.9999999999999938 - 3.469446951953614e-18im, 0.999999999999998 - 9.540979117872439e-18im, 0.9999999999999725 - 5.204170427930421e-18im
7.3, 0.9999999999999906 - 2.3852447794681098e-18im, 0.9999999999999993 - 1.0408340855860843e-17im, 0.9999999999999719 - 5.095750210681871e-18im
7.4, 0.9999999999999881 - 6.505213034913027e-19im, 0.9999999999999994 - 1.0408340855860843e-17im, 0.9999999999999702 - 5.095750210681871e-18im
7.5, 0.9999999999999852 - 1.734723475976807e-18im, 0.9999999999999999 - 9.540979117872439e-18im, 0.9999999999999711 - 4.9873299934333204e-18im
