flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
1.0, 1.5099119409495205, 1.2850668494544384, 1.3214452146787556, 1.2060254870984706, 1.3504126249775223, 1.2922920285478174, 1.273882019244363, 1.2845933240849456, 1.1895048106655868, 1.1809254180589623, 1.2996030407745918, 1.200379704896419, 1.3582118649874346, 1.4193729008347806, 1.374733182646244
1.1, 1.4891715835539676, 1.243858183173555, 1.2751076689075913, 1.164953553976162, 1.311451936296363, 1.2550029408181909, 1.2302176706750805, 1.2477420356302322, 1.1454347998872891, 1.1346844788143475, 1.2589288917642252, 1.1547910689236718, 1.3149290450577669, 1.3860955280725349, 1.3399815512449604
1.2, 1.4672764212794291, 1.2026822105964976, 1.227483005805296, 1.124563980356017, 1.2734085967647402, 1.2189921713415397, 1.1872618237695158, 1.2109850879351285, 1.1018838768624273, 1.08916761889014, 1.2186749168690867, 1.1116684836293023, 1.2711550885866123, 1.352747668783533, 1.3052099442784695
1.3, 1.4444428050525622, 1.1614874837061688, 1.179138626235532, 1.0845338256461838, 1.2364060152882876, 1.1839139279929258, 1.145141347130789, 1.1738266147771488, 1.0589879372083038, 1.0443453533753657, 1.1788999133910363, 1.0709303460385518, 1.2269927705382673, 1.3191646180769083, 1.2702277103219493
1.4, 1.4209055065634677, 1.120236076160214, 1.130812889273081, 1.0446762418437812, 1.2003078229326891, 1.1492992249270961, 1.103993081765263, 1.1358948407994898, 1.0169260009655305, 1.0001863421631965, 1.1396612023071864, 1.032370657661035, 1.1826353967598517, 1.2849931492944995, 1.2348643705901525
1.5, 1.3968772498119062, 1.078918671478805, 1.0832897045885876, 1.0049490703460877, 1.1648801220447544, 1.1146764126047004, 1.0639408767676957, 1.0970050429811806, 0.9758993708491277, 0.9566757433059802, 1.101032081580386, 0.9957380146167595, 1.1383402591154412, 1.2498615590536561, 1.1990064627496633
1.6, 1.3725188107574997, 1.0375664342220035, 1.0372208403147667, 0.9654573937912085, 1.12990421170679, 1.0796629312101582, 1.0250747235939448, 1.0571882684073746, 0.9361046573092814, 0.9138436310610921, 1.0630701849557482, 0.9607920542303318, 1.0943621966724129, 1.213503022859737, 1.1625819912229725
1.7, 1.3479244863486863, 0.9962516029491868, 0.9929994480948883, 0.926444340073239, 1.0952320416654626, 1.0440210687243496, 0.9874424288057513, 1.0166512621970005, 0.8977072405301543, 0.8717895596381751, 1.025764762104437, 0.9273374321568476, 1.050925842092598, 1.1758113880503973, 1.1255415680694807
1.8, 1.323119730469061, 0.9550746478481502, 0.9507540162382726, 0.8882537861956663, 1.0608056187492876, 1.007686197036342, 0.9510487054960903, 0.9756781385692398, 0.8608154124273527, 0.8306921942481038, 0.9890191265728936, 0.8952336943085207, 1.0082273628736746, 1.1368380364661712, 1.0878574198867907
1.9, 1.2980648756362583, 0.9141475061066647, 0.9104338570902231, 0.8512581501194368, 1.0266553163136685, 0.9707713562018133, 0.9158534832004382, 0.9345349161911858, 0.8254615931609339, 0.7907984514823796, 0.9526870787704432, 0.8643844106039451, 0.9664399241873641, 1.096752232497637, 1.0495350455235037
2.0, 1.2726608362821863, 0.8735875273588763, 0.8719066278339127, 0.8157697727462313, 0.9928831595318462, 0.9335442587136541, 0.881771132342751, 0.8934454340254703, 0.7916053322066537, 0.7523930511982782, 0.9166327520988754, 0.8347159293032094, 0.9257155195716501, 1.0557881896895926, 1.0106256303326187
2.1, 1.2467555552467635, 0.8335282559967173, 0.8350212739633999, 0.7819735366998931, 0.9596340781132218, 0.8963748334164358, 0.8486793364539559, 0.8526418351830608, 0.7591636734854724, 0.7157566907712047, 0.8807788594167287, 0.8061589721990571, 0.8861853616026809, 1.014199611618336, 0.9712320488201246
2.2, 1.2201512490583724, 0.7941370750900504, 0.799639081063151, 0.7499100935273246, 0.9270597805967896, 0.8596638654647863, 0.816440869980793, 0.8124100130436873, 0.7280547006067531, 0.6811260072015584, 0.845130946140889, 0.7786416954519363, 0.8479612091101877, 0.9722358693530674, 0.9315072800019336
2.3, 1.192612900958709, 0.7556203183396109, 0.7656508104122516, 0.7195090542277476, 0.8952860350710529, 0.8237759669070998, 0.7849307169448659, 0.7730565988772575, 0.6982313407804213, 0.6486672904252319, 0.8097813191469994, 0.7520942137166712, 0.8111368645011254, 0.9301420272771047, 0.8916479773176086
2.4, 1.1638792781742402, 0.7182039833177635, 0.7329880604349218, 0.6906474942483608, 0.8643967026831437, 0.7889997708399521, 0.7540571029050827, 0.7348295012982662, 0.6696907438137342, 0.6184689338773194, 0.7749010549172942, 0.7264585531896385, 0.7757899540369428, 0.8881731439533834, 0.8518872505362043
2.5, 1.13367887279067, 0.6820978544832133, 0.7016268581085549, 0.6632071618814372, 0.834438438660957, 0.755540929822807, 0.7237707642690664, 0.697892581992052, 0.6424598547182853, 0.5905494101791094, 0.7407287133726203, 0.7016974211899992, 0.7419852413558439, 0.8466081557200898, 0.8124888935160903
2.6, 1.1017533554902394, 0.6474639195492334, 0.6715804601208222, 0.637114913045665, 0.8054364574840311, 0.7235331339907225, 0.6940648913239769, 0.6623869996586345, 0.6165696015650994, 0.5648724242785021, 0.7075595668845024, 0.6777980489331888, 0.7097771409799899, 0.8057517697410618, 0.7737413096744972
2.7, 1.067889435241359, 0.6144045851245873, 0.642882768828314, 0.6123602245713143, 0.7774080688081357, 0.6930484716771195, 0.6649715808940032, 0.6285039396637354, 0.5920330734718472, 0.5413605172816588, 0.6757265605764778, 0.654770583152135, 0.6792072829050725, 0.7659208249837455, 0.735946644239236
2.8, 1.0319565412035803, 0.5829712474932989, 0.615567982986374, 0.5889876503846367, 0.7503675093742209, 0.6641017442388978, 0.6365584876137631, 0.5964851248476627, 0.5688371361190129, 0.5199027167168031, 0.645555459455108, 0.6326424590436972, 0.650298272364355, 0.7274195044308109, 0.6994020280016424
2.9, 0.9939437463618256, 0.5531834910412973, 0.5896533827633321, 0.567066947629005, 0.7243237430301805, 0.6366555453658193, 0.6089251519517648, 0.5665487149506647, 0.5469471632465436, 0.5003583005955022, 0.6172936766544552, 0.6114507397418142, 0.6230513724419438, 0.6905120434899983, 0.6643745998796925
3.0, 0.9539868353005928, 0.5250473600550657, 0.5651306435402378, 0.5466527495745775, 0.699276249470222, 0.6106328264808859, 0.5821957750257004, 0.5388107284625782, 0.5263177222478178, 0.48256213249651386, 0.5910486896822419, 0.591234108169681, 0.597452198699647, 0.6554013899193287, 0.6310765335714394
