flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
5.7, 0.21130916424161203, 0.13068480347123662, 0.13161735434075225, 0.15040053226287484, 0.1621645258456287, 0.10790973147812775, 0.10728425599117346, 0.15038819366125525, 0.20569062483372236, 0.16568353796006785, 0.16118342774689282, 0.09688285523539396, 0.21057531415598604, 0.1321206638524929, 0.24319164588104428
5.8, 0.20734403824780917, 0.1276859923614507, 0.12788656738939774, 0.14621629889892176, 0.1544739411405691, 0.10316219101864649, 0.10099706500667321, 0.1453790810182284, 0.20280771567348418, 0.16064500727850473, 0.1550648533579955, 0.09235152312405617, 0.2036472214286325, 0.1277422175882742, 0.237850414349525
5.9, 0.20364903990134978, 0.1248747316045945, 0.12443004012369104, 0.1420817059224941, 0.14727203615073461, 0.09871947920453726, 0.09511053670363864, 0.1406906662673913, 0.20008005920984898, 0.15588932662333, 0.14928342205799155, 0.08797821182168057, 0.1971208780472175, 0.12365260041404069, 0.2328001257015273
6.0, 0.2001938621279822, 0.12223558553031877, 0.1212131619501112, 0.13798835226934175, 0.14053248814268138, 0.09456011739371593, 0.08961880512041237, 0.1363031152830492, 0.1974912186043571, 0.1513968597052634, 0.1438089663375656, 0.08375612276791168, 0.19095959232409113, 0.119828315286688, 0.22802054047386852
6.1, 0.19695173245491285, 0.11975447224615622, 0.11820490674833939, 0.13393038495632106, 0.13422842696524218, 0.09066453784472861, 0.0845114878453269, 0.13219740226610013, 0.19502626705804874, 0.14714995428959946, 0.1386132934032386, 0.07968094966979775, 0.18512942449719288, 0.11624710496243325, 0.22349248680870412
6.2, 0.19389900887857175, 0.11741848159183782, 0.11537752350775916, 0.12990429224043154, 0.12833275989022835, 0.0870148569215652, 0.07977409588105411, 0.1283553571783129, 0.19267163019225458, 0.1431325529966166, 0.13367037432351025, 0.0757505213985892, 0.179599516721624, 0.11288803091247318, 0.21919775210350376
6.3, 0.19101480541733268, 0.11521572369119754, 0.11270623674218463, 0.1259086901905623, 0.12281850844298339, 0.08359465746802298, 0.07538873027576422, 0.12475969559341198, 0.19041494943257292, 0.13932985407252096, 0.12895646027492705, 0.07196441818187811, 0.1743422428953021, 0.10973152307195655, 0.2151190112728116
6.4, 0.18828065398294289, 0.11313520480903429, 0.11016896346056859, 0.12194410198184037, 0.1176591335343448, 0.08038878756096389, 0.07133494209319481, 0.12139403347912366, 0.188244961845451, 0.1357280284375974, 0.12445012290555418, 0.0683235651061002, 0.16933321633516374, 0.10675940067987615, 0.21123978996774892
6.5, 0.18568020464531798, 0.11116672676214862, 0.10774605085258762, 0.1180127304610078, 0.11282882978427218, 0.07738318068428393, 0.06759063770336657, 0.11824288889912354, 0.18615139267345082, 0.13231399418941298, 0.12013222510616756, 0.06482981220548796, 0.164551188905069, 0.10395486639858133, 0.20754445554321105
6.6, 0.1831989634923998, 0.10930080604769461, 0.1054200369290025, 0.11411822528907821, 0.1083027757849373, 0.0745647005498812, 0.06413293501677254, 0.11529167235600947, 0.18412485780636823, 0.1290752458004088, 0.11598583398662526, 0.06148551472803135, 0.15997786946096196, 0.10130247723019241, 0.2040182260850702
