flowtime, sM2R1, sM2R2, sM2R3, sM2R4, sM2R5, sM2R6, sM2R7, sM2R8, sM2R9, sM2R10, sM2R11, sM2R12, sM2R13, sM2R14, sM2R15, sM2R16, sM2R17, sM2R18, sM2R19, sM2R20
1.0, 0.29950101163987475, 0.2937089150522519, 0.2925899123145677, 0.30213234843681713, 0.30063005628325123, 0.30189539296912743, 0.30153300053779525, 0.2904407670651811, 0.3020725762564507, 0.2884322686800288, 0.2995450727839897, 0.29496825737526705, 0.2982980415214694, 0.29673778719842586, 0.28085453042188174, 0.29395039596632905, 0.2870145807887014, 0.29871079408153334, 0.29638043115688584, 0.297974517899147
1.1, 0.2872189128019278, 0.28018112099597353, 0.27833849775410385, 0.2909799500877653, 0.28840110879659175, 0.289837433210206, 0.28756980672094773, 0.27542977414314657, 0.2908152023106561, 0.2737746016727769, 0.28518678210153214, 0.2818310816319419, 0.28564568432222737, 0.28340212135372156, 0.2662020000359333, 0.28079957340939027, 0.2727432372951291, 0.28473119247709316, 0.2827686757476161, 0.2851238981742533
1.2, 0.2745912075502454, 0.2665122356813905, 0.2643011231758901, 0.2796163984609557, 0.27582630130268737, 0.27734217051576754, 0.2738377701916433, 0.2610322422759596, 0.2792842380273288, 0.2596258724932544, 0.2708924925432603, 0.2686897981840969, 0.27263679236126304, 0.27016562085781304, 0.25230551104041854, 0.2675757894007115, 0.25903669726191003, 0.2708830680168936, 0.26906911867848093, 0.2721640432497035
1.3, 0.2617037993255333, 0.25289413913995734, 0.25061161462838705, 0.268031345230272, 0.2629785661083812, 0.26442898795303654, 0.2603935962518222, 0.2473063019421881, 0.26743966703071353, 0.24607936636900854, 0.25684262557197185, 0.2557199804573522, 0.25947179621868904, 0.25714583775499167, 0.2391161955329078, 0.25442666290952504, 0.24585667092090063, 0.25727000862576443, 0.2554808761834939, 0.25920647537835434
1.4, 0.2486967850264659, 0.23951360339360406, 0.23737440871011684, 0.2562186036164645, 0.24999602920462724, 0.2512397004061345, 0.24729740873376843, 0.2342665041975442, 0.25524782181310907, 0.23318996881441312, 0.2432044424416592, 0.24302300954504508, 0.2463791816315392, 0.24443864646994118, 0.22658534316766343, 0.2414925466494726, 0.23318792386224424, 0.24400667249215605, 0.2422070268136294, 0.2463824651769141
1.5, 0.2357288616924665, 0.2265112957898708, 0.22465965862094406, 0.24417845342089817, 0.2370512947220285, 0.23802391291051844, 0.2346027504073362, 0.22188649396718071, 0.24271082642244854, 0.22097199531042952, 0.23009638817891845, 0.23064353575313987, 0.2335321434981152, 0.23210213993391887, 0.2146708019561022, 0.22887814357718128, 0.2210305357815585, 0.2311827353131726, 0.22939567199776445, 0.23381853720210163
1.6, 0.2229474654514329, 0.21397811167123718, 0.21250534197366994, 0.23192675265092969, 0.2243071329505601, 0.22503855837555978, 0.22234984517887443, 0.2101179691521135, 0.22991742629609743, 0.20941064276769594, 0.21757511041429864, 0.21860322327971746, 0.22102976257960355, 0.2201622957481132, 0.2033405178384217, 0.2166536869961895, 0.2093909515183031, 0.2188557639668841, 0.2171210709287518, 0.22161781240059567
1.7, 0.2104732821723353, 0.20196799457017903, 0.2009242241146191, 0.21951471439836034, 0.21188698032187542, 0.21245771742864542, 0.21056293247773714, 0.19891234198016167, 0.21707076099597788, 0.1984759849325612, 0.20564813274708751, 0.20692006727750675, 0.20892284633906646, 0.20862766115738368, 0.19257166103901463, 0.20486609223869817, 0.19827498715393846, 0.2070599356826797, 0.20540046251551736, 0.20985127749461172
1.8, 0.19839601103659735, 0.19050897455899038, 0.18991230826020458, 0.20705140419314802, 0.19987040506927461, 0.2003647183873719, 0.19925091685478497, 0.18823592915364581, 0.20442895368926542, 0.18813309847588322, 0.19429859825342635, 0.19561350149360812, 0.19724112911166583, 0.19750125034227034, 0.18234697271852582, 0.19354643365730165, 0.1876835235447652, 0.19581100878049518, 0.1942211124230251, 0.19855879304278828
1.9, 0.18677776899833845, 0.17960939503223738, 0.1794560194113301, 0.19470211370536825, 0.18830356568434162, 0.18878836887127018, 0.18841022375043334, 0.17807452928597983, 0.19219462885938282, 0.17834736127752496, 0.18350352079208496, 0.1847037194323342, 0.18600669476169518, 0.186786043502292, 0.17265067535308365, 0.18271319274314296, 0.17761072169422767, 0.1851060782377703, 0.18356066352745756, 0.1877560443978589
2.0, 0.17565942919289307, 0.16926247260260696, 0.16953723813697838, 0.18264585375137582, 0.17721182415893738, 0.17773354585340143, 0.1780290102455204, 0.1684267566703228, 0.18046697514519677, 0.16908644006795084, 0.17323987718398642, 0.17420996367636588, 0.17523717565222607, 0.1764858254038847, 0.16346548964615384, 0.17237425057136638, 0.1680442122166513, 0.17492618002571172, 0.17339753957881043, 0.17744281590132632
2.1, 0.1650656698467819, 0.15945101747723683, 0.1601362994694031, 0.17102305502992704, 0.16660853359817807, 0.16719615649886901, 0.1680921931897626, 0.15929104619005402, 0.16927307625605048, 0.1603206379908651, 0.1634837205015067, 0.16414901943476415, 0.16494500077163826, 0.16660413310141026, 0.15477124539323397, 0.16252902226918156, 0.15896650933044326, 0.16524376491455484, 0.16371428801429014, 0.1676097220747717
2.2, 0.15500796719237386, 0.15015203840752941, 0.15123339067691063, 0.15991646773865376, 0.1564997131666717, 0.15716886047664996, 0.1585867702952407, 0.15065545648328857, 0.15861244978251546, 0.15202264425034326, 0.15420808590072496, 0.1545339849033946, 0.1551365199188621, 0.15714308683487055, 0.14654486244599133, 0.1531706894612952, 0.15035689039911412, 0.1560305851106969, 0.15449729784178143, 0.15824269125027596
2.3, 0.1454869055481054, 0.14134041296190036, 0.14280889365485766, 0.14936429562138762, 0.1468861871647992, 0.1476428904134586, 0.149506376962371, 0.14249586017892818, 0.14847965265729127, 0.14416716180408792, 0.14538202444816864, 0.14537334323054213, 0.14581223596958756, 0.14810271094260719, 0.13876117934053478, 0.14428815698378986, 0.14219316507800506, 0.14726218288053122, 0.1457351769934516, 0.14932568237892815
2.4, 0.13649470175474937, 0.1329912297605254, 0.134843200413704, 0.1393796532331226, 0.13776453628511962, 0.13860840006051914, 0.14085329611813616, 0.1347804740657808, 0.13886957380988005, 0.13673057598529725, 0.1369709790375616, 0.13667044420555857, 0.13696787543740208, 0.13948070213204022, 0.13139409897863155, 0.13586754142144888, 0.13445302767015305, 0.13891868793270595, 0.13741697534427005, 0.14084233402758045
2.5, 0.12801776551069166, 0.1250809176785677, 0.12731640176345813, 0.12996268914085982, 0.12912758721445658, 0.13005431584064633, 0.1326362804356669, 0.12747552411115368, 0.12977651382339064, 0.12969069786437543, 0.12893842443601564, 0.12842345940398092, 0.12859563022543466, 0.13127243582315254, 0.12441766543490056, 0.12789320596275525, 0.12711492004717354, 0.1309836394932111, 0.12953076964355717, 0.13277699795926667
