flowtime, s1, s2, s3, s4, s5
13.8, 0.0014946634186926734, 0.014569310017033241, 0.211167027675088, 0.014569310017033274, 0.001494663418692675
13.9, 0.001466229677553958, 0.014261958901682505, 0.2111622138408792, 0.01426195890168285, 0.0014662296775539484
14.0, 0.0014383399014887472, 0.013961801964795554, 0.21115750487454327, 0.013961801964795488, 0.0014383399014887507
14.1, 0.0014109835638376179, 0.013668638509750529, 0.21115289837771514, 0.013668638509750568, 0.0014109835638376213
14.2, 0.0013841503465297342, 0.013382274881732414, 0.21114839201202687, 0.013382274881732228, 0.0013841503465297337
14.3, 0.0013578301357413313, 0.013102524169574352, 0.2111439834974077, 0.013102524169574166, 0.0013578301357413296
14.4, 0.0013320130176542526, 0.012829205919960689, 0.2111396706103588, 0.012829205919960564, 0.0013320130176542495
14.5, 0.0013066892743113085, 0.012562145863880504, 0.21113545118232538, 0.012562145863880353, 0.0013066892743113117
14.6, 0.0012818493795660987, 0.012301175655139515, 0.21113132309811522, 0.012301175655139445, 0.001281849379566095
14.7, 0.001257483995124616, 0.012046132620644365, 0.2111272842944108, 0.01204613262064449, 0.001257483995124622
14.8, 0.001233583966676451, 0.011796859522134308, 0.21112333275825568, 0.011796859522134358, 0.0012335839666764545
14.9, 0.0012101403201126382, 0.011553204328980259, 0.21111946652568264, 0.011553204328980266, 0.0012101403201126267
15.0, 0.001187144257828449, 0.011315020001650812, 0.21111568368033717, 0.011315020001650758, 0.00118714425782845
15.1, 0.0011645871551087402, 0.01108216428542668, 0.21111198235214812, 0.01108216428542668, 0.0011645871551087472
15.2, 0.0011424605565932891, 0.010854499513935785, 0.21110836071606162, 0.010854499513935799, 0.0011424605565932909
15.3, 0.0011207561728205468, 0.010631892422074048, 0.21110481699081904, 0.010631892422074058, 0.0011207561728205637
15.4, 0.0010994658768479577, 0.01041421396788827, 0.21110134943775136, 0.010414213967888277, 0.0010994658768479454
15.5, 0.0010785817009458724, 0.01020133916299578, 0.21109795635965, 0.01020133916299571, 0.0010785817009458624
15.6, 0.0010580958333645067, 0.009993146911128825, 0.2110946360996306, 0.009993146911128861, 0.0010580958333645145
15.7, 0.001038000615171195, 0.009789519854403341, 0.21109138704006647, 0.00978951985440345, 0.001038000615171202
15.8, 0.0010182885371565003, 0.009590344226925854, 0.21108820760156108, 0.009590344226925975, 0.001018288537156492
15.9, 0.000998952236807448, 0.009395509715362469, 0.21108509624190544, 0.009395509715362418, 0.0009989522368074352
16.0, 0.000979984495346157, 0.009204909326114721, 0.21108205145513909, 0.009204909326114629, 0.0009799844953461724
16.1, 0.0009613782348325497, 0.009018439258758849, 0.21107907177057716, 0.009018439258758832, 0.0009613782348325684
16.2, 0.0009431265153289365, 0.008835998785423495, 0.21107615575190783, 0.00883599878542342, 0.0009431265153289438
16.3, 0.0009252225321257428, 0.008657490135791856, 0.21107330199629165, 0.00865749013579167, 0.000925222532125746
16.4, 0.0009076596130263794, 0.008482818387434974, 0.2110705091335176, 0.00848281838743504, 0.0009076596130263925
16.5, 0.0008904312156900126, 0.008311891361196214, 0.2110677758251415, 0.00831189136119622, 0.0008904312156900225
16.6, 0.0008735309250308338, 0.008144619521355954, 0.2110651007637008, 0.008144619521356007, 0.0008735309250308149
16.7, 0.0008569524506724293, 0.007980915880332227, 0.21106248267192138, 0.007980915880332215, 0.0008569524506724267
16.8, 0.0008406896244561501, 0.007820695907671746, 0.2110599203019461, 0.007820695907671715, 0.0008406896244561517
16.9, 0.0008247363980019234, 0.007663877443108918, 0.21105741243460738, 0.007663877443108896, 0.0008247363980019173
17.0, 0.0008090868403204267, 0.007510380613480656, 0.2110549578786981, 0.007510380613480664, 0.000809086840320423
17.1, 0.0007937351354755009, 0.0073601277532930375, 0.21105255547027413, 0.007360127753293, 0.0007937351354755149
17.2, 0.0007786755802954725, 0.007213043328751761, 0.21105020407198904, 0.007213043328751789, 0.0007786755802954744
17.3, 0.0007639025821323586, 0.007069053865076718, 0.21104790257242018, 0.007069053865076591, 0.000763902582132362
17.4, 0.0007494106566678363, 0.006928087876929578, 0.2110456498854433, 0.006928087876929522, 0.0007494106566678326
17.5, 0.0007351944257648834, 0.006790075801797618, 0.2110434449495991, 0.006790075801797558, 0.0007351944257648828
17.6, 0.000721248615364082, 0.006654949936180046, 0.21104128672749078, 0.0066549499361800955, 0.0007212486153640837
17.7, 0.0007075680534235343, 0.006522644374437081, 0.21103917420521134, 0.006522644374437126, 0.0007075680534235366
17.8, 0.0006941476679013917, 0.006393094950165022, 0.2110371063917428, 0.006393094950164977, 0.0006941476679013943
17.9, 0.0006809824847801046, 0.006266239179973709, 0.2110350823184523, 0.006266239179973779, 0.0006809824847801027
18.0, 0.0006680676261314635, 0.006142016209544501, 0.21103310103847872, 0.006142016209544549, 0.0006680676261314639
18.1, 0.0006553983082212991, 0.006020366761857022, 0.2110311616262759, 0.006020366761857013, 0.0006553983082213003
18.2, 0.0006429698396533238, 0.005901233087477993, 0.21102926317707013, 0.005901233087478024, 0.0006429698396533248
18.3, 0.0006307776195509234, 0.005784558916813016, 0.21102740480635157, 0.005784558916812981, 0.0006307776195509225
18.4, 0.0006188171357762183, 0.005670289414223934, 0.21102558564942667, 0.005670289414223912, 0.0006188171357762191
18.5, 0.0006070839631855603, 0.00555837113392435, 0.21102380486091005, 0.005558371133924339, 0.0006070839631855586
18.6, 0.0005955737619205737, 0.00544875197756909, 0.21102206161428405, 0.005448751977569096, 0.0005955737619205716
18.7, 0.0005842822757341469, 0.005341381153454964, 0.21102035510144923, 0.005341381153454991, 0.0005842822757341445
18.8, 0.0005732053303502933, 0.005236209137260628, 0.2110186845322978, 0.005236209137260563, 0.000573205330350296
18.9, 0.0005623388318575897, 0.005133187634251178, 0.21101704913427238, 0.005133187634251139, 0.0005623388318575951
19.0, 0.0005516787651349868, 0.005032269542883437, 0.21101544815196593, 0.00503226954288342, 0.0005516787651349812
19.1, 0.0005412211923096096, 0.004933408919743947, 0.21101388084671877, 0.004933408919743954, 0.0005412211923096064
19.2, 0.0005309622512458377, 0.004836560945762723, 0.21101234649622205, 0.004836560945762743, 0.000530962251245836
19.3, 0.0005208981540647381, 0.0047416818936436966, 0.21101084439414416, 0.004741681893643715, 0.0005208981540647373
19.4, 0.0005110251856935235, 0.004648729096458638, 0.21100937384974966, 0.004648729096458662, 0.0005110251856935193
19.5, 0.0005013397024441849, 0.0045576609173523085, 0.2110079341875445, 0.004557660917352338, 0.0005013397024441786
19.6, 0.0004918381306207437, 0.004468436720311232, 0.21100652474692186, 0.00446843672031121, 0.0004918381306207526
19.7, 0.0004825169651544997, 0.004381016841949457, 0.21100514488181235, 0.0043810168419494725, 0.00048251696515450205
19.8, 0.00047337276826665554, 0.004295362564267627, 0.211003793960356, 0.004295362564267579, 0.00047337276826665316
