flowtime, w1, w2, w3, w4, w5
64.3, -8.021171449984198e-25, 7.289119506628606e-11, -1.8745939387884565, 7.289119506629244e-11, -7.824534992663343e-25
64.4, -7.460931470645488e-25, 7.082543634489971e-11, -1.8745892625374732, 7.082543634490578e-11, -7.274525838367342e-25
64.5, -7.416529689960134e-25, 6.881830858029192e-11, -1.8745844724530911, 6.881830858029757e-11, -7.2575426687964465e-25
64.6, -6.914810029865717e-25, 6.686814443982217e-11, -1.8745795653193005, 6.686814443982842e-11, -6.780376988804529e-25
64.7, -6.9622810580638835e-25, 6.497332412803734e-11, -1.8745745378343361, 6.497332412804269e-11, -6.797974007877988e-25
64.8, -6.8980314767956755e-25, 6.313227402675212e-11, -1.8745693866083732, 6.313227402675668e-11, -6.722675135563654e-25
64.9, -6.3959025836995495e-25, 6.134346537422639e-11, -1.8745641081609903, 6.13434653742314e-11, -6.260855693135799e-25
65.0, -6.689936495426987e-25, 5.960541298226882e-11, -1.874558698919028, 5.960541298227494e-11, -6.507418576665071e-25
65.1, -6.891688365269196e-25, 5.791667399021571e-11, -1.8745531552138424, 5.791667399022063e-11, -6.774852343281467e-25
65.2, -6.560005017384592e-25, 5.6275846654669095e-11, -1.8745474732789273, 5.62758466546739e-11, -6.4096118892567785e-25
65.3, -6.329402220921945e-25, 5.468156917400047e-11, -1.8745416492471656, 5.468156917400605e-11, -6.165299787236904e-25
65.4, -5.96549177415281e-25, 5.3132518546612065e-11, -1.8745356791482333, 5.3132518546616156e-11, -5.913723799436705e-25
65.5, -5.692942595015059e-25, 5.1627409461936154e-11, -1.874529558905777, 5.162740946194057e-11, -5.575595031775194e-25
65.6, -5.072749980926079e-25, 5.0164993223298645e-11, -1.874523284334658, 5.016499322330314e-11, -4.994688785850215e-25
65.7, -4.901281353210288e-25, 4.874405670168467e-11, -1.8745168511379653, 4.874405670168819e-11, -4.82015091062161e-25
65.8, -5.126973353652433e-25, 4.736342131950391e-11, -1.8745102549040573, 4.7363421319508e-11, -4.988652599075017e-25
65.9, -5.17863902011811e-25, 4.6021942063534156e-11, -1.8745034911035723, 4.602194206353809e-11, -5.113570972846486e-25
66.0, -5.209740728247944e-25, 4.471850652615087e-11, -1.8744965550861676, 4.4718506526154445e-11, -5.074489221183339e-25
66.1, -5.085947745231173e-25, 4.345203397407485e-11, -1.874489442077399, 4.3452033974078583e-11, -5.011467338920256e-25
66.2, -4.8587211210326205e-25, 4.222147444379354e-11, -1.874482147175383, 4.2221474443797005e-11, -4.775544513435402e-25
66.3, -4.963791694221235e-25, 4.1025807862951103e-11, -1.8744746653474678, 4.102580786295505e-11, -4.882354326881277e-25
