flowtime, d1, d2, d3
11.5, 0.9999999999999676 + 2.2551405187698492e-17im, 1.000000000000001 + 3.469446951953614e-18im, 1.0000000000000027 + 3.885780586188048e-16im
11.6, 0.9999999999999698 + 2.2551405187698492e-17im, 1.000000000000001 + 2.0816681711721685e-17im, 1.0000000000000044 + 4.996003610813204e-16im
11.7, 0.9999999999999736 + 2.168404344971009e-17im, 1.0000000000000013 + 3.122502256758253e-17im, 1.000000000000004 + 1.1102230246251565e-16im
11.8, 0.9999999999999766 + 1.9949319973733282e-17im, 1.0000000000000024 + 3.469446951953614e-17im, 1.0000000000000047 + 1.6653345369377348e-16im
11.9, 0.9999999999999784 + 1.9949319973733282e-17im, 1.0000000000000022 + 4.163336342344337e-17im, 1.0000000000000073 + 3.885780586188048e-16im
12.0, 0.9999999999999816 + 1.8214596497756474e-17im, 1.0000000000000024 + 4.163336342344337e-17im, 1.0000000000000102 + 2.220446049250313e-16im
12.1, 0.9999999999999822 + 1.5612511283791264e-17im, 1.000000000000003 + 3.469446951953614e-17im, 1.0000000000000102 + 2.220446049250313e-16im
12.2, 0.9999999999999835 + 1.214306433183765e-17im, 1.000000000000001 + 3.8163916471489756e-17im, 1.0000000000000118 + 2.7755575615628914e-16im
12.3, 0.9999999999999841 + 1.3877787807814457e-17im, 1.0000000000000013 + 3.8163916471489756e-17im, 1.0000000000000122 - 1.6653345369377348e-16im
12.4, 0.9999999999999851 + 1.3877787807814457e-17im, 1.0 + 3.8163916471489756e-17im, 1.0000000000000124 - 6.106226635438361e-16im
12.5, 0.9999999999999853 + 1.5612511283791264e-17im, 0.999999999999999 + 3.8163916471489756e-17im, 1.0000000000000115 - 5.551115123125783e-16im
12.6, 0.9999999999999862 + 1.5612511283791264e-17im, 0.9999999999999984 + 4.163336342344337e-17im, 1.0000000000000109 - 3.885780586188048e-16im
12.7, 0.9999999999999865 + 1.734723475976807e-17im, 0.9999999999999966 + 3.122502256758253e-17im, 1.0000000000000093 - 5.551115123125783e-16im
12.8, 0.9999999999999856 + 1.474514954580286e-17im, 0.999999999999998 + 4.5102810375396984e-17im, 1.0000000000000093 - 4.996003610813204e-16im
12.9, 0.999999999999986 + 1.6479873021779667e-17im, 0.9999999999999998 + 3.8163916471489756e-17im, 1.0000000000000098 - 8.326672684688674e-16im
13.0, 0.9999999999999853 + 1.734723475976807e-17im, 1.0 + 4.85722573273506e-17im, 1.00000000000001 - 8.881784197001252e-16im
13.1, 0.9999999999999866 + 1.9949319973733282e-17im, 0.9999999999999998 + 3.8163916471489756e-17im, 1.00000000000001 - 6.106226635438361e-16im
13.2, 0.9999999999999857 + 2.0816681711721685e-17im, 1.0000000000000007 + 4.85722573273506e-17im, 1.000000000000009 - 7.216449660063518e-16im
13.3, 0.9999999999999851 + 2.168404344971009e-17im, 1.0000000000000013 + 5.204170427930421e-17im, 1.0000000000000098 - 1.0547118733938987e-15im
13.4, 0.9999999999999857 + 2.0816681711721685e-17im, 0.9999999999999998 + 5.204170427930421e-17im, 1.0000000000000093 - 1.27675647831893e-15im
13.5, 0.9999999999999852 + 1.8214596497756474e-17im, 0.9999999999999991 + 5.204170427930421e-17im, 1.0000000000000107 - 1.4432899320127035e-15im
13.6, 0.9999999999999855 + 1.734723475976807e-17im, 0.9999999999999982 + 4.85722573273506e-17im, 1.0000000000000109 - 1.3877787807814457e-15im
