flowtime, whM1R1, whM1R2, whM1R3, whM1R4, whM1R5, whM1R6, whM1R7, whM1R8, whM1R9, whM1R10, whM1R11, whM1R12, whM1R13, whM1R14, whM1R15, whM1R16, whM1R17, whM1R18, whM1R19, whM1R20
1.1, 1.4918603599723795e-5, 3.361788100436386e-5, 2.137251608183254e-5, 1.427260637178516e-5, 1.4219881226487734e-5, 2.259651326619787e-5, 3.626133548275123e-5, 2.3611173323189034e-5, 1.4870050741607967e-5, 1.767182998722568e-5, 4.004187805957152e-5, 1.5158101113414292e-5, 1.647924063048791e-5, 1.7463885691096123e-5, 1.5109208477646854e-5, 3.676504581639697e-5, 2.4559478749854223e-5, 1.692668675579027e-5, 1.4073057028132038e-5, 4.770065524768719e-5
1.2, 1.007814964743548e-5, 2.2142209782050532e-5, 1.3939370353363996e-5, 9.661167600661507e-6, 9.623017866166258e-6, 1.5004115932599733e-5, 2.4379271803697928e-5, 1.4872754396280707e-5, 1.0036930102591303e-5, 1.1893650870093066e-5, 2.4639353217774676e-5, 1.0274520242086305e-5, 1.1158297385912496e-5, 1.179471266072514e-5, 1.0124809676687238e-5, 2.371943909733593e-5, 1.6357453579186755e-5, 1.1331421814812458e-5, 9.523596781792522e-6, 3.215008488542867e-5
1.3, 6.849904302750725e-6, 1.4719377526420945e-5, 9.163379642922978e-6, 6.577627948655724e-6, 6.5499045953360286e-6, 1.007022092265892e-5, 1.6555121974302833e-5, 9.464636449804232e-6, 6.816250319763719e-6, 8.062057716748808e-6, 1.5371948090941366e-5, 7.004020857443026e-6, 7.610977704629193e-6, 8.021791242590264e-6, 6.827656031500994e-6, 1.5491118619278413e-5, 1.0999603573841463e-5, 7.64072352454744e-6, 6.4817190257026325e-6, 2.194856788820755e-5
1.4, 4.68184255813669e-6, 9.872043499323831e-6, 6.065654435995365e-6, 4.502054825315426e-6, 4.4818050419097185e-6, 6.822578259167114e-6, 1.1345752042208895e-5, 6.075937147238621e-6, 4.655014841251154e-6, 5.50044672989072e-6, 9.715848186133826e-6, 4.799669702523716e-6, 5.226060474907597e-6, 5.490736465966673e-6, 4.630922982790215e-6, 1.0237468787195405e-5, 7.460398482826617e-6, 5.185522785754392e-6, 4.4345015782868435e-6, 1.515694167970933e-5
1.5, 3.21640325299443e-6, 6.676979647484326e-6, 4.039591929422086e-6, 3.0963902265494546e-6, 3.0815195177175013e-6, 4.660549468485275e-6, 7.841199035644062e-6, 3.929417566912732e-6, 3.1953306278976783e-6, 3.7750540136391114e-6, 6.215129074510471e-6, 3.30501440327346e-6, 3.610227897670143e-6, 3.7802903871826317e-6, 3.1576388699771257e-6, 6.841193956169438e-6, 5.099065095811712e-6, 3.539663608023616e-6, 3.0483638535982098e-6, 1.0573289537749135e-5
1.6, 2.22000845139072e-6, 4.552056520202808e-6, 2.704619875595986e-6, 2.1390453895603623e-6, 2.1280665682621443e-6, 3.2068090711392797e-6, 5.460789596205017e-6, 2.556838459759182e-6, 2.203601157654599e-6, 2.6049565488642514e-6, 4.019352250920809e-6, 2.2859438382899826e-6, 2.50772892723157e-6, 2.6165999864181897e-6, 2.1635249488874135e-6, 4.6189077544662644e-6, 3.5093991996115493e-6, 2.428722161991613e-6, 2.1046137607631137e-6, 7.441258688627319e-6
1.7, 1.5388445792636937e-6, 3.126739388863323e-6, 1.8192573120124751e-6, 1.4836599026727348e-6, 1.4755131948169365e-6, 2.2206836899423976e-6, 3.829576597397415e-6, 1.671982605137929e-6, 1.5261296783953007e-6, 1.8064863191515378e-6, 2.624875353935659e-6, 1.5875687719407474e-6, 1.7506355468339545e-6, 1.8199978194674472e-6, 1.488982765839296e-6, 3.1480023316321316e-6, 2.4305236009869246e-6, 1.6741889307220656e-6, 1.4587889649790266e-6, 5.277355904993558e-6
1.8, 1.0708597782225545e-6, 2.162925021107573e-6, 1.2287012017682305e-6, 1.0328658529587383e-6, 1.02679219514007e-6, 1.5465420781886583e-6, 2.702670848109992e-6, 1.0975807190412184e-6, 1.0610245408647226e-6, 1.258503596733064e-6, 1.7291532113516687e-6, 1.1067038932322308e-6, 1.227681885106077e-6, 1.2715978936113038e-6, 1.0289340028643403e-6, 2.1639443701944563e-6, 1.6929203647789725e-6, 1.1588655054240378e-6, 1.0147809099442788e-6, 3.767684879538676e-6
1.9, 7.478687818010218e-7, 1.5061766262602113e-6, 8.327952642278523e-7, 7.214526534255588e-7, 7.169051363789833e-7, 1.0825001678640794e-6, 1.918378349889676e-6, 7.225372176743541e-7, 7.402599986956874e-7, 8.804615221557652e-7, 1.1478490424827438e-6, 7.74161531959389e-7, 8.645247128403255e-7, 8.921072806880958e-7, 7.136982591500098e-7, 1.4990637985362415e-6, 1.1852649161174895e-6, 8.051537269360042e-7, 7.082247371473276e-7, 2.7054163279617297e-6
2.0, 5.240165901178623e-7, 1.0554175001590203e-6, 5.662026192947242e-7, 5.054736621898068e-7, 5.020557559061748e-7, 7.611221604207196e-7, 1.3688375996645522e-6, 4.7649110341557277e-7, 5.181214997824456e-7, 6.184045444660382e-7, 7.671004730251852e-7, 5.432680331008542e-7, 6.111051994899502e-7, 6.282508976754302e-7, 4.967602196653628e-7, 1.0457620513373615e-6, 8.337437098452404e-7, 5.612787205704887e-7, 4.95748384551955e-7, 1.9523738450503676e-6
