flowtime, wM2R1, wM2R2, wM2R3, wM2R4, wM2R5, wM2R6, wM2R7, wM2R8, wM2R9, wM2R10, wM2R11, wM2R12, wM2R13, wM2R14, wM2R15, wM2R16, wM2R17, wM2R18, wM2R19, wM2R20
24.2, 0.7496096986538536, 0.7491013040868936, 0.7500268841617231, 0.7500367881492401, 0.7503899023965473, 0.7503922181224137, 0.7503881974943124, 0.7503202505118781, 0.749993902325529, 0.7503689270900749, 0.7501944249781972, 0.7503833636403644, 0.7497903165181314, 0.750211357974641, 0.7503734061425469, 0.7503840097247183, 0.7500707352114647, 0.7503691340961447, 0.750394228842716, 0.7499565537601361
24.3, 0.7496055190508791, 0.7490961706223672, 0.7500266053082376, 0.7500359970786553, 0.7503902046806217, 0.7503925078198882, 0.7503885021205455, 0.750320319606947, 0.7499922250432137, 0.7503691792717502, 0.7501935513991042, 0.750383562171765, 0.749789140349485, 0.7502108875202796, 0.7503736504732326, 0.750384100693694, 0.7500695254269996, 0.750369405796457, 0.7503945044150755, 0.7499543625651136
24.4, 0.7496013522393318, 0.7490910457312777, 0.7500263676722707, 0.7500352308620304, 0.7503905524677164, 0.7503928431969252, 0.7503888520961961, 0.7503204337498346, 0.7499905749898759, 0.7503694770254705, 0.7501927145716448, 0.7503838053430176, 0.7497879984616805, 0.7502104513901291, 0.7503739410035398, 0.7503842341366695, 0.750068354978472, 0.7503697227208719, 0.7503948254572699, 0.7499522027331639
24.5, 0.7495971968943645, 0.7490859279917038, 0.7500261699730271, 0.7500344884255096, 0.7503909445525321, 0.75039322304213, 0.7503892462199859, 0.750320591683241, 0.7499889509947968, 0.7503698191354488, 0.7501919132545007, 0.750384091943069, 0.7497868896205955, 0.750210048447135, 0.7503742765045989, 0.7503844088629522, 0.750067222489723, 0.7503700836652921, 0.750395190757979, 0.7499500727699349
24.6, 0.7495930517216777, 0.7490808160148458, 0.7500260109642626, 0.7500337687222011, 0.7503913797627003, 0.7503936461771743, 0.7503896833234355, 0.7503207921840034, 0.7499873519170398, 0.750370204419124, 0.750191146238929, 0.7503844207937757, 0.7497858126249127, 0.7502096775837808, 0.7503746557811068, 0.750384623713818, 0.7500661266203179, 0.7503704874585102, 0.750395599138923, 0.7499479712173325
24.7, 0.7495889154566513, 0.7490757084440534, 0.7500258894333083, 0.7500330707313876, 0.7503918569578467, 0.7503941114558887, 0.7503901622699892, 0.7503210340621503, 0.7499857766446233, 0.7503706317262285, 0.7501904123478647, 0.7503847907490021, 0.7497847663051722, 0.7502093377212615, 0.7503750776703927, 0.7503848775616423, 0.7500650660645695, 0.7503709329612888, 0.7503960494539413, 0.7499458966524993
24.8, 0.7495847868634813, 0.7490706039539068, 0.7500258042001481, 0.7500323934577829, 0.7503923750287284, 0.750394617763368, 0.7503906819540984, 0.7503213161599758, 0.74998422409369, 0.7503710999378967, 0.7501897104350262, 0.7503852006937234, 0.749783749522886, 0.7502090278086821, 0.7503755410415183, 0.7503851693090159, 0.7500640395505458, 0.7503714190654823, 0.7503965405881003, 0.7499438476868014
24.9, 0.7495806647343534, 0.7490655012493019, 0.7500257541164903, 0.750031735930798, 0.7503929328963705, 0.750395164015112, 0.7503912413003876, 0.7503216373511437, 0.7499826932077188, 0.7503716079657915, 0.7501890393840631, 0.75038564954317, 0.7497827611696447, 0.7502087468222528, 0.7503760447943965, 0.7503854978879253, 0.7500630458391362, 0.7503719446931649, 0.750397071456834, 0.7499418229648429
25.0, 0.7495765478886206, 0.7490603990645724, 0.7500257380648881, 0.7500310972038314, 0.7503935295112075, 0.7503957491561701, 0.7503918392627987, 0.7503219965398158, 0.7499811829567542, 0.7503721547512714, 0.7501883981077124, 0.7503861362419766, 0.7497818001662849, 0.7502084937645509, 0.7503765878589379, 0.7503858622589245, 0.7500620837231257, 0.7503725087958063, 0.7503976410051035, 0.7499398211635154
25.1, 0.7495724351720304, 0.7490552961626294, 0.7500257549578868, 0.7500304763535605, 0.7503941638522893, 0.7503963721603438, 0.7503924748237971, 0.7503223926597999, 0.7499796923366487, 0.7503727392645492, 0.7501877855469844, 0.7503866597633752, 0.7497808654620431, 0.7502082676637641, 0.7503771691942227, 0.7503862614103503, 0.7500611520263083, 0.750373110353449, 0.7503982482065715, 0.7499378409910628
25.2, 0.7495683254559435, 0.7490501913341338, 0.750025803737165, 0.7500298724792978, 0.7503948349264866, 0.7503970320293653, 0.7503931469935662, 0.7503228246737328, 0.7499782203683424, 0.7503733605039097, 0.7501872006703852, 0.7503872191084053, 0.7497799560337677, 0.7502080675729723, 0.7503777877876803, 0.7503866943575418, 0.750060249602616, 0.750373748373914, 0.7503988920628241, 0.7499358811861808
25.3, 0.7495642176366114, 0.7490450833966875, 0.7500258833727295, 0.7500292847023031, 0.7503955417677061, 0.7503977277921539, 0.7503938548092516, 0.7503232915722775, 0.7499767660971476, 0.7503740174949125, 0.7501866424731302, 0.7503878133051252, 0.749779070885116, 0.750207892569449, 0.750378442654322, 0.750387160142095, 0.7500593753352689, 0.7503744218920314, 0.7503995716025711, 0.7499339405171437
25.4, 0.7495601106344175, 0.7490399711940279, 0.7500259928621248, 0.7500287121651804, 0.7503962834361648, 0.750398458504032, 0.7503945973342117, 0.7503237923733352, 0.749975328592063, 0.7503747092896496, 0.7501861099763993, 0.7503884414078842, 0.7497782090458248, 0.7502077417539788, 0.7503791328359721, 0.7503876578311379, 0.7500585281359546, 0.7503751299689011, 0.7504002858809288, 0.7499320177809389
25.5, 0.749556003393208, 0.7490348535952851, 0.7500261312296604, 0.7500281540312187, 0.7503970590176323, 0.7503992232460155, 0.7503953736572843, 0.7503243261212951, 0.7499739069451021, 0.7503754349660063, 0.7501856022266199, 0.7503891024965708, 0.7497773695709375, 0.7502076142501841, 0.7503798574005103, 0.7503881865166044, 0.7500577069440418, 0.7503758716911545, 0.750401033978653, 0.7499301118024488
25.6, 0.7495518948795877, 0.7490297294942176, 0.7500262975256515, 0.7500276094838401, 0.75039786762275, 0.7504000211240951, 0.7503961828920889, 0.7503248918863037, 0.7499725002706364, 0.7503761936269449, 0.7501851182947527, 0.750389795675918, 0.7497765515401005, 0.7502075092039014, 0.7503806154411671, 0.7503887453145662, 0.7500569107257751, 0.7503766461702479, 0.7504018150014529, 0.7499282214336263
25.7, 0.7495477840822559, 0.7490245978085105, 0.7500264908257057, 0.7500270777259683, 0.7503987083863253, 0.7504008512685446, 0.7503970241763344, 0.7503254887635313, 0.7499711077047723, 0.7503769843998089, 0.7501846572756019, 0.750390520074812, 0.7497757540568687, 0.7502074257825284, 0.7503814060758197, 0.7503893333645503, 0.7500561384735497, 0.7503774525417785, 0.7504026280792948, 0.7499263455527203
25.8, 0.7495436700113586, 0.7490194574790422, 0.7500267102300021, 0.7500265579794865, 0.7503995804666734, 0.7504017128332462, 0.7503978966711645, 0.7503261158724872, 0.749969728404719, 0.7503778064356523, 0.7501842182871503, 0.7503912748456109, 0.7497749762480194, 0.7502073631744437, 0.7503822284462943, 0.7503899498288795, 0.750055389205159, 0.7503782899648072, 0.7504034723657196, 0.7499244830635088
25.9, 0.7495395516978691, 0.7490143074692199, 0.7500269548626023, 0.7500260494846739, 0.7504004830449535, 0.7504026049950452, 0.750398799560479, 0.7503267723563409, 0.7499683615482062, 0.7503786589085686, 0.7501838004699051, 0.7503920591635052, 0.7497742172628904, 0.7502073205883799, 0.7503830817177227, 0.7503905938920591, 0.7500546619630775, 0.7503791576212161, 0.7504043470372072, 0.7499226328945494
26.0, 0.7495354281929563, 0.7490091467643077, 0.7500272238707908, 0.7500255514996764, 0.7504014153245492, 0.7504035269531029, 0.7503997320503472, 0.750327457381258, 0.7499670063329004, 0.7503795410150642, 0.750183402986268, 0.7503928722258766, 0.7497734762727428, 0.750207297252878, 0.7503839650778842, 0.7503912647601333, 0.7500539558137752, 0.7503800547150744, 0.7504052512925208, 0.7499207939984568
