flowtime, wh1, wh2, wh3
6.0, -1.7363527092003647e-22, 6.746953980775215e-9, -6.490131389512212
6.1, -7.849416359167209e-23, 5.154300777048354e-9, -6.3608926151506
6.2, -3.00514525542491e-23, 3.936856341494537e-9, -6.21537175083409
6.3, -8.789670103892277e-24, 3.0063832943138806e-9, -6.051671197535926
6.4, -4.413168690422672e-25, 2.295365776957587e-9, -5.867768357847406
6.5, 2.1306307000942692e-24, 1.7521471102397371e-9, -5.661559508224959
6.6, 3.586190640570471e-24, 1.337208588131338e-9, -5.430933913255118
6.7, 3.6614895128848044e-24, 1.02032117170721e-9, -5.173888843631349
6.8, 3.4018720966010376e-24, 7.783651300441114e-10, -4.888696769011242
6.9, 2.7032295160845698e-24, 5.936609291140569e-10, -4.574133994792388
7.0, 2.165006272237769e-24, 4.5269150252189613e-10, -4.229773335676906
7.1, 1.706992696725802e-24, 3.451241766803382e-10, -3.856329984910944
7.2, 1.3203493567117683e-24, 2.630620349369159e-10, -3.4560288892938718
7.3, 1.0197267936568262e-24, 2.004709602629829e-10, -3.0329366314688104
7.4, 7.509425581347926e-25, 1.5274118878751184e-10, -2.593178983145306
7.5, 5.616313715445174e-25, 1.1635184669086532e-10, -2.1449574458968685
7.6, 4.310041973992172e-25, 8.861432491964947e-11, -1.6982903522495065
7.7, 3.3769907300971706e-25, 6.747599990636858e-11, -1.264433882321575
7.8, 2.743293426951816e-25, 5.1370139090500663e-11, -0.8549860773193426
7.9, 2.1402885989345857e-25, 3.910114737994592e-11, -0.4807683021961678
8.0, 1.5575408045019186e-25, 2.975685187237942e-11, -0.15074818789198985
8.1, 1.167132520872168e-25, 2.2641468708829914e-11, 0.12853865898877714
8.2, 8.37290721495251e-26, 1.7224386892725692e-11, 0.3526149668819734
8.3, 6.523685588482977e-26, 1.3101045790981065e-11, 0.5177151217525205
8.4, 5.383971678725267e-26, 9.963057455491296e-12, 0.6192526099317661
8.5, 4.0007641329510984e-26, 7.575394408426046e-12, 0.6518054983920067
8.6, 2.9949461459398343e-26, 5.7589760560587174e-12, 0.6130706439768473
8.7, 2.2574315456735965e-26, 4.377379168716555e-12, 0.513011673917037
8.8, 1.6883419026729448e-26, 3.326698041072649e-12, 0.3809337155754396
8.9, 1.3164514123704964e-26, 2.5278096004958577e-12, 0.25422063619618074
9.0, 1.0170718945582435e-26, 1.920474391198644e-12, 0.15572941060839599
9.1, 7.638589747512119e-27, 1.4588386920726315e-12, 0.08924628123602857
9.2, 5.472851971283796e-27, 1.1080057265549287e-12, 0.0487655500184696
9.3, 4.3404275243690154e-27, 8.414224225532091e-13, 0.02588286323956615
9.4, 3.2035270914980508e-27, 6.388881676994619e-13, 0.013542578610340063
9.5, 2.5014367229421905e-27, 4.850378346566444e-13, 0.007054929802435834
9.6, 1.859452451512242e-27, 3.6818635578950404e-13, 0.003680981863911946
