flowtime, wM1R1, wM1R2, wM1R3, wM1R4, wM1R5, wM1R6, wM1R7, wM1R8, wM1R9, wM1R10, wM1R11, wM1R12, wM1R13, wM1R14, wM1R15, wM1R16, wM1R17, wM1R18, wM1R19, wM1R20
1.0, 0.0002550367251999259, 0.00035013108389576035, 0.0002469087273413945, 0.0003713463805339985, 0.00028569282080882254, 0.0002955592349120329, 0.0002337637484633558, 0.0002209601130431486, 0.00029445712143963046, 0.00023203925163002125, 0.0003549629366720018, 0.00030963696446717454, 0.0002706747627605436, 0.0002522195818525577, 0.0003275718560515151, 0.00029602023562700166, 0.00023361420231609353, 0.00022635116623863623, 0.0002696750353704107, 0.00026672480813743916
1.1, 0.0002221586104562131, 0.00029725660030354594, 0.00021602162955768764, 0.0003136039703290186, 0.00024366312283683454, 0.0002536757011585463, 0.00020569680348402303, 0.0001918053975330435, 0.0002535619200701932, 0.00020436347132121464, 0.0002987774032724314, 0.0002613934095752859, 0.00023246664876351214, 0.00022061717243927666, 0.0002787652416710915, 0.0002505800987287169, 0.0002056375093223849, 0.00019938124821832875, 0.00023158321220195503, 0.00023203850066959774
1.2, 0.00019442949620558658, 0.0002546923230615647, 0.00018975566383014415, 0.00026749128248853876, 0.00020951485272853795, 0.00021946025368976209, 0.0001815079793028621, 0.00016767761258448363, 0.00021962261457125773, 0.00018044023212607354, 0.000254338137192302, 0.00022297473462508068, 0.0002012030809259742, 0.00019366573677133972, 0.0002391286340103192, 0.0002140067778123857, 0.00018148880954898554, 0.0001761030039607533, 0.00020042807589700374, 0.00020297477175353147
1.3, 0.00017083196535383068, 0.0002199103522514931, 0.00016724788996872844, 0.00023006204564222663, 0.00018138957969682037, 0.0001910804031271401, 0.0001605629268192127, 0.00014740674502643206, 0.00019116177112214495, 0.00015968364771819493, 0.00021849256441633418, 0.00019185254455551386, 0.00017525070873318277, 0.00017054203190651991, 0.00020653482115272755, 0.00018419670814229312, 0.000160559714397947, 0.00015591961246185277, 0.0001745722927905547, 0.0001783547585934293
1.4, 0.0001506027395116316, 0.00019111027925552255, 0.00014783884731101076, 0.00019925168767014585, 0.0001579530034367894, 0.00016724831203479882, 0.0001423529659702164, 0.00013016958858534907, 0.0001670930292822036, 0.00014161317734437493, 0.00018909944171384156, 0.00016626466963033928, 0.00015344819791437116, 0.00015059918230030076, 0.00017943227409660415, 0.00015960840982990143, 0.00014235467935886064, 0.00013835069374915112, 0.00015285147694910482, 0.00015731285139014835
1.5, 0.00013315538158729446, 0.00016698840292211843, 0.00013101385457733858, 0.0001735822604154672, 0.00013822656121527112, 0.00014703213830660433, 0.00012646457819387845, 0.00011536991599468994, 0.0001465944139729837, 0.0001258320336915293, 0.00016466528974289188, 0.00014495777837667353, 0.00013494911105674077, 0.000133321489142645, 0.00015667355382720423, 0.00013910606752185403, 0.00012646670068977768, 0.00012300463419809285, 0.00013441864318231714, 0.00013919736337323626
1.6, 0.00011803012071795466, 0.00014658449768299703, 0.00011636394024150474, 0.00015197399922293247, 0.00012147873428989173, 0.0001297397753138247, 0.00011255791344837701, 0.00010256392262356152, 0.0001290304815671699, 0.0001120105613497365, 0.0001441211869605341, 0.00012702217431981403, 0.00011912222429335822, 0.00011829275336299773, 0.00013739761251636433, 0.00012184441372351494, 0.00011255903143906537, 0.00010955885133178653, 0.00011864391751554224, 0.0001235066420044287
1.7, 0.00010486033534850889, 0.00012917912691440858, 0.00010355915468108499, 0.00013362276057895506, 0.00010715311908999093, 0.00011484521148713515, 0.00010035115442489536, 9.1412917360082e-5, 0.00011390164361855211, 9.98733193524499e-5, 0.00012668328165473927, 0.00011178442300374229, 0.00010548688664613879, 0.00010517353226814378, 0.00012094876461775713, 0.00010718660239173936, 0.00010035121991174337, 9.774532182167831e-5, 0.00010504896205587838, 0.00010984694599928174
1.8, 9.334951740800915e-5, 0.00011422413138673805, 9.232987396691476e-5, 0.0001179188413006044, 9.481976996059698e-5, 0.00010194057636966828, 8.960884428927155e-5, 8.165262830024664e-5, 0.00010080968762583533, 8.918895419666478e-5, 0.0001117638164629784, 9.873653897416361e-5, 9.367017735271138e-5, 9.368446097884183e-5, 0.00010682050579918328, 9.464635342845869e-5, 8.960831275632171e-5, 8.733972050938939e-5, 9.326341685386926e-5, 9.790398693764415e-5
1.9, 8.325500681370509e-5, 0.00010129505413158861, 8.245338398627216e-5, 0.00010439223612264594, 8.414163347669481e-5, 9.070406449538372e-5, 8.013298945142631e-5, 7.30728164554672e-5, 8.943351462314421e-5, 7.976219608663297e-5, 9.891311903814544e-5, 8.74885427287584e-5, 8.337789370250577e-5, 8.359379210704945e-5, 9.46161897134274e-5, 8.384728377705006e-5, 8.013241297367016e-5, 7.815311111661815e-5, 8.29954645078042e-5, 8.742324146752996e-5
