flowtime, wM3R1, wM3R2, wM3R3, wM3R4, wM3R5, wM3R6, wM3R7, wM3R8, wM3R9, wM3R10, wM3R11, wM3R12, wM3R13, wM3R14, wM3R15
11.3, -0.00010645407278367799, -1.2704171090193532e-5, 0.0001136489104892724, -4.437660547450355e-6, 0.0005461229803724083, -7.596560251381036e-5, -7.659572200513742e-5, -6.566053214204171e-5, 9.601047324092693e-5, 2.471771752414101e-5, -0.00012385015063548542, 3.567947740815057e-7, -1.6192004261994415e-6, -4.2843462287741705e-6, -2.9881426272491705e-5
11.4, -0.00010501546873571299, -1.1341608694511755e-5, 0.00011087406552483933, -4.464292928646758e-6, 0.0005415378082556265, -7.619694476544551e-5, -7.51894841566751e-5, -6.309162282541361e-5, 9.206112184467965e-5, 2.3657802922055775e-5, -0.00011916939138519323, 3.3333956968535e-7, -2.3157565205933184e-6, -4.811251736210485e-6, -2.9294461717929546e-5
11.5, -0.0001031412827549791, -1.0123364076759288e-5, 0.00010815557233608014, -4.486149415875776e-6, 0.0005366836965612548, -7.624466644478556e-5, -7.379308937874768e-5, -6.062654181383635e-5, 8.849813861370749e-5, 2.264224742211157e-5, -0.00011463734939115764, 3.1157944809964564e-7, -3.0610118529984505e-6, -5.289960580950164e-6, -2.8714274092381394e-5
11.6, -0.00010091857173260702, -9.035190608495317e-6, 0.00010547625491771196, -4.500406414572692e-6, 0.0005315761728941782, -7.611724490438348e-5, -7.239169897064747e-5, -5.819835007672582e-5, 8.528393507890607e-5, 2.167024249114087e-5, -0.00011025824639394792, 2.91356403880423e-7, -3.8526977460100116e-6, -5.72097522069008e-6, -2.8143235566314866e-5
11.7, -9.843044089995896e-5, -8.06343465707567e-6, 0.00010282148996970044, -4.505067137143868e-6, 0.0005262321792787881, -7.582360240950379e-5, -7.09721449730087e-5, -5.575046600263543e-5, 8.238680599139611e-5, 2.074083755463832e-5, -0.00010603501557099816, 2.725311320526405e-7, -4.688229941504592e-6, -6.1044544265680265e-6, -2.7583857050711498e-5
11.8, -9.575379780350433e-5, -7.195377644848437e-6, 0.00010017902977013048, -4.498868823128965e-6, 0.0005206702459262467, -7.537295084911788e-5, -6.952291210735354e-5, -5.3239203529938904e-5, 7.977986765908185e-5, 1.9852957258269802e-5, -0.0001019694288707824, 2.549811092786476e-7, -5.564696473689334e-6, -6.440371808322318e-6, -2.703877546617997e-5
11.9, -9.29575193631111e-5, -6.419459794033059e-6, 9.753882945908853e-5, -4.481180782394211e-6, 0.0005149104688563261, -7.477466550088759e-5, -6.803411829189204e-5, -5.063483225561556e-5, 7.744012908152543e-5, 1.9005417235122386e-5, -9.806222600439829e-5, 2.385986074237585e-7, -6.478866522756078e-6, -6.7286598165579546e-6, -2.651063862422515e-5
12.0, -9.010112004371543e-5, -5.725398235338714e-6, 9.489288821099279e-5, -4.451897773149567e-6, 0.000508974217446597, -7.403818488953153e-5, -6.649749345374634e-5, -4.792153000453199e-5, 7.534770655840158e-5, 1.8196939041088686e-5, -9.431324157453143e-5, 2.2328873578719412e-7, -7.427217516511087e-6, -6.969335904768489e-6, -2.6001883586009068e-5
12.1, -8.723398631948038e-5, -5.104216019319825e-6, 9.22351093080436e-5, -4.411333717646e-6, 0.0005028835670992957, -7.317293366827792e-5, -6.490635603020318e-5, -4.509665269004592e-5, 7.348517713485147e-5, 1.742616466796495e-5, -9.072152758494359e-5, 2.0896758567483258e-7, -8.40597687349885e-6, -7.162608286865716e-6, -2.5514425950704067e-5
12.2, -8.439520387761227e-5, -4.548198126234821e-6, 8.956118124611776e-5, -4.360120524028593e-6, 0.0004966605027249348, -7.218826544718621e-5, -6.325558625937009e-5, -4.21696900947134e-5, 7.183705747260553e-5, 1.6691670845422568e-5, -8.728546922310716e-5, 1.9556052995870683e-7, -9.411174291170846e-6, -7.308959537982053e-6, -2.5049303609790714e-5
12.3, -8.161394952585166e-5, -4.050788540087593e-6, 8.686847999511465e-5, -4.299115948562904e-6, 0.0004903259712045884, -7.109342255753156e-5, -6.154159514093751e-5, -3.916113758172377e-5, 7.038939067163494e-5, 1.59919831953599e-5, -8.400289234909735e-5, 1.830007114854855e-7, -1.0438700373897477e-5, -7.409207147229613e-6, -2.4606341487908387e-5
12.4, -7.891036143847724e-5, -3.6064415230151973e-6, 8.415599075650369e-5, -4.2293232308472024e-6, 0.0004838988790955092, -6.989750985503193e-5, -5.976228784096312e-5, -3.610133410264874e-5, 6.91294226737478e-5, 1.5325590198974996e-5, -8.08711615646291e-5, 1.7122773807124802e-7, -1.1484367619749263e-5, -7.4645410191296664e-6, -2.418391409863655e-5
12.5, -7.629675570273635e-5, -3.210441700504982e-6, 8.142424547305166e-5, -4.1518239247518135e-6, 0.00047739513751995845, -6.86094798094143e-5, -5.791702035644569e-5, -3.302914495747826e-5, 6.804535094428907e-5, 1.4690956871063067e-5, -7.788726809028658e-5, 1.601865885259795e-7, -1.2543970264641999e-5, -7.476538801854486e-6, -2.3778873132092826e-5
12.6, -7.37790359095505e-5, -2.8587105293685117e-6, 7.867526959177345e-5, -4.06772414783178e-6, 0.0004708268494346114, -6.723812629142615e-5, -5.600654846668439e-5, -2.999025499126842e-5, 6.712613024844499e-5, 1.4086537999684804e-5, -7.504790696118424e-5, 1.498267236120397e-7, -1.3613340128865963e-5, -7.44716075146289e-6, -2.3386677327151288e-5
12.7, -7.135814808442876e-5, -2.5476184060430107e-6, 7.591252810500313e-5, -3.978113522746971e-6, 0.0004642017158518166, -6.579208464231403e-5, -5.4032968376964276e-5, -2.703482696038251e-5, 6.636132288194358e-5, 1.3510790795716854e-5, -7.234954327780727e-5, 1.4010138784321616e-7, -1.4688396337361628e-5, -7.378726572985865e-6, -2.3001719425043385e-5
12.8, -6.903145953470292e-5, -2.2738193635025364e-6, 7.314085708334206e-5, -3.884035443529731e-6, 0.0004575227100217055, -6.427983578910924e-5, -5.199964897319212e-5, -2.4214384314679895e-5, 6.574098326725317e-5, 1.2962186799402016e-5, -6.978846743662922e-5, 1.309670822813586e-7, -1.576518751634771e-5, -7.273877263611389e-6, -2.2617803097000082e-5
12.9, -6.679397719300797e-5, -2.0341187476655134e-6, 7.036636371000411e-5, -3.786466957841029e-6, 0.00045078803728610073, -6.270971234846088e-5, -4.991115618917311e-5, -2.1577966889532926e-5, 6.525556913974187e-5, 1.2439222904813653e-5, -6.736083943044778e-5, 1.2238318468521614e-7, -1.6839925747187512e-5, -7.135525380960871e-6, -2.222869365451265e-5
13.0, -6.463935916496817e-5, -1.8253765582538249e-6, 6.759627671749197e-5, -3.6863064614997395e-6, 0.000443991369055457, -6.108990484105833e-5, -4.77731705492481e-5, -1.916781925855114e-5, 6.489587350057314e-5, 1.1940431383962988e-5, -6.506272246676161e-5, 1.1431169124077204e-7, -1.7909012144803017e-5, -6.966797346082522e-6, -2.182865669179222e-5
13.1, -6.256070577988768e-5, -1.6444447486959445e-6, 6.48387319074584e-5, -3.5843674834979468e-6, 0.0004371223166466893, -5.94284663187893e-5, -4.559239938007578e-5, -1.701505235878362e-5, 6.465297306640229e-5, 1.146438881696817e-5, -6.289010631708857e-5, 1.067170534334143e-7, -1.8969054401217595e-5, -6.770971360687803e-6, -2.1412908404621162e-5
13.2, -6.055114033138848e-5, -1.488137815158106e-6, 6.210248562158337e-5, -3.4813770290964676e-6, 0.00043016709678946855, -5.773331389084219e-5, -4.337648538030942e-5, -1.5135861809625951e-5, 6.451819011671337e-5, 1.1009723860922055e-5, -6.08389209898386e-5, 9.956608421343234e-8, -2.001687698883424e-5, -6.551414286111742e-6, -2.0977925270516732e-5
13.3, -5.860420452280667e-5, -1.353239893015197e-6, 5.9396562972111066e-5, -3.3779771879138618e-6, 0.000423109335443592, -5.601222582796692e-5, -4.1133913111401575e-5, -1.3529006235243088e-5, 6.448306547515842e-5, 1.0575123816358521e-5, -5.89050415193528e-5, 9.282790929581987e-8, -2.1049524957882683e-5, -6.311520430140181e-6, -2.0521591989848034e-5
13.4, -5.6714100735837064e-5, -1.236552562825832e-6, 5.672986555454686e-5, -3.274728961641977e-6, 0.00041593095858867866, -5.427283313313006e-5, -3.887391448371854e-5, -1.2175308704223264e-5, 6.45393409231509e-5, 1.0159339975281312e-5, -5.7084284882099584e-5, 8.647394204705824e-8, -2.2064262400702235e-5, -6.054654663583308e-6, -2.0043197359958682e-5
13.5, -5.4875814644984966e-5, -1.1349813991442522e-6, 5.411078089590056e-5, -3.1721174963302777e-6, 0.00040861312556192685, -5.252260469998689e-5, -3.6606373471515535e-5, -1.103980683014346e-5, 6.4678949695596e-5, 9.761191758116285e-6, -5.5372400279972414e-5, 8.047786376309491e-8, -2.3058566708958845e-5, -5.7841016941596545e-6, -1.954331086474274e-5
13.6, -5.3085149437980407e-5, -1.0456474181820808e-6, 5.15468468468173e-5, -3.070558103733344e-6, 0.0004011371700260763, -5.0768825446881284e-5, -3.434172917030611e-5, -1.0076681644902925e-5, 6.489401390979483e-5, 9.379569668075554e-6, -5.376505425536421e-5, 7.48155950173121e-8, -2.4030119736302936e-5, -5.503022714151908e-6, -1.902358339514886e-5
13.7, -5.1338698661077345e-5, -9.659988618714999e-7, 4.904452268861167e-5, -2.970402620768932e-6, 0.0003934855238073186, -4.901856712139786e-5, -3.209087503973704e-5, -9.236256313424969e-6, 6.517684787931893e-5, 9.013437110276216e-6, -5.2257812302968526e-5, 6.946524792329475e-8, -2.4976796915595782e-5, -5.214420057567496e-6, -1.848651331557111e-5
13.8, -4.963377971751208e-5, -8.938964392866485e-7, 4.6609102473961554e-5, -2.8719457868011274e-6, 0.00038564260818222496, -4.7278651824236246e-5, -2.9865050928555585e-5, -8.47250567246383e-6, 6.55199663060036e-5, 8.661831139269703e-6, -5.0846118795135046e-5, 6.440705335904746e-8, -2.589665528162456e-5, -4.9211099889585105e-6, -1.7935208370756214e-5
13.9, -4.796834510324238e-5, -8.276532852462967e-7, 4.424477818422434e-5, -2.7754314193491735e-6, 0.0003775956846487037, -4.5555608701959016e-5, -2.7675723460435045e-5, -7.749171953369402e-6, 6.591609635572549e-5, 8.323862212461745e-6, -4.952527711739915e-5, 5.962326118319571e-8, -2.678792122929738e-5, -4.625703324029883e-6, -1.7373161194558557e-5
14.0, -4.6340884016325874e-5, -7.660251527887007e-7, 4.195482894522136e-5, -2.6810582449751143e-6, 0.00036933566199024836, -4.385562469931374e-5, -2.5534449792381505e-5, -7.043043022168503e-6, 6.635819262920742e-5, 7.998713038234113e-6, -4.829043189714579e-5, 5.5098014997300555e-8, -2.7648978703012253e-5, -4.330593263076963e-6, -1.6804046599521615e-5
14.1, -4.475032322756443e-5, -7.081596994353573e-7, 3.974188791632462e-5, -2.588985298641954e-6, 0.00036085785787788404, -4.2184490727287556e-5, -2.34527198672497e-5, -6.3440088753631635e-6, 6.683945405225208e-5, 7.685636616338587e-6, -4.713655508814317e-5, 5.0817205863385944e-8, -2.847835837167585e-5, -4.037949602450312e-6, -1.6231544136233512e-5
14.2, -4.319593309425058e-5, -6.535211803366738e-7, 3.760822799227187e-5, -2.4993368462297352e-6, 0.0003521627107623836, -4.054754506612499e-5, -2.1441773287260776e-5, -5.652586968158349e-6, 6.735334173898202e-5, 7.383953574536552e-6, -4.6058437443647e-5, 4.6768311407046754e-8, -2.9274728200189955e-5, -3.7497183679737848e-6, -1.5659188334814846e-5
14.3, -4.167724228803091e-5, -6.018075591852188e-7, 3.555601279660389e-5, -2.412206814903386e-6, 0.00034325643088312015, -3.894961624551435e-5, -1.9512389024036775e-5, -4.976185664396811e-6, 6.789359693119162e-5, 7.093048909310552e-6, -4.5050686579591246e-5, 4.294022781972805e-8, -3.0036885684891406e-5, -3.4676258732559647e-6, -1.5090249169826884e-5
14.4, -4.0193963099496814e-5, -5.528731624501694e-7, 3.358747649086889e-5, -2.327662737572129e-6, 0.00033415156754035546, -3.739496798109886e-5, -1.767464946648635e-5, -4.3253368378067206e-6, 6.845425818745317e-5, 6.812368240082486e-6, -4.4107732418643234e-5, 3.9323102380788724e-8, -3.07637518794537e-5, -3.1931862278456606e-6, -1.4527644816346614e-5
14.5, -3.8745927969174466e-5, -5.066645046335114e-7, 3.170501745175547e-5, -2.245749233000378e-6, 0.00032486745342551134, -3.58872489478429e-5, -1.593768475745153e-5, -3.710699286502767e-6, 6.902967708586031e-5, 6.541413685653069e-6, -4.322384034654182e-5, 3.590817327447937e-8, -3.145436720079171e-5, -2.927711387491705e-6, -1.397388714466983e-5
14.6, -3.733303707229246e-5, -4.6317198797652585e-7, 2.991120995106193e-5, -2.1664910538911333e-6, 0.0003154304665870404, -3.442945019100316e-5, -1.4309408704030009e-5, -3.1411316302931344e-6, 6.961453181106864e-5, 6.2797394688193636e-6, -4.2393131941529715e-5, 3.2687621772787356e-8, -3.210788887354647e-5, -2.672322935160905e-6, -1.3431058070607597e-5
14.7, -3.5955216260738596e-5, -4.223967985025762e-7, 2.8208750313455486e-5, -2.0898957426463667e-6, 0.0003058740285020386, -3.302387278320497e-5, -1.279626314455526e-5, -2.622764437479873e-6, 7.020383811553088e-5, 6.0269473503662146e-6, -4.1609612694679254e-5, 2.9654439438837437e-8, -3.272358974937671e-5, -2.427964893057053e-6, -1.2900812618119855e-5
14.8, -3.4612384361667195e-5, -3.8433053192700977e-7, 2.6600358539984468e-5, -2.015955939346438e-6, 0.0002962382363899805, -3.1672107923723375e-5, -1.1402992516951406e-5, -2.158820970761693e-6, 7.07929572715893e-5, 5.782681987237461e-6, -4.0867205758444266e-5, 2.6802310103515367e-8, -3.33008581269988e-5, -2.1954169819864637e-6, -1.2384402980696334e-5
14.9, -3.3304428686121484e-5, -3.4894449770767613e-7, 2.508865444762784e-5, -1.9446513893723387e-6, 0.000286569015222967, -3.037503106833917e-5, -1.013247320732611e-5, -1.7499027394195221e-6, 7.137760076044532e-5, 5.546626301754887e-6, -4.015979046940186e-5, 2.4125503286374005e-8, -3.38391981050546e-5, -1.9753078572618263e-6, -1.1882717242797079e-5
