flowtime, wM2R1, wM2R2, wM2R3, wM2R4, wM2R5, wM2R6, wM2R7, wM2R8, wM2R9, wM2R10, wM2R11, wM2R12, wM2R13, wM2R14, wM2R15
1.5, 0.3272135195906537, 0.3039736336773582, 0.24264921947339532, 0.24993374502380547, 0.25526652017471035, 0.24807253418796182, 0.2577251298850389, 0.2880444151848848, 0.2803690072941034, 0.31667953110644315, 0.26304684683731444, 0.28947660524203517, 0.33144683173504386, 0.3413811037083363, 0.28379035291061605
1.6, 0.3064868340361466, 0.28234802506584417, 0.22169421956820717, 0.22891952920458888, 0.2310852003503661, 0.22412150130874472, 0.23724558979913427, 0.26411088712899533, 0.25609449811357565, 0.29610071581268194, 0.24182086915788037, 0.2667959943210706, 0.31068522115716973, 0.3240926035439985, 0.26034551197961103
1.7, 0.28558194416578386, 0.2610225339341964, 0.20136330392699495, 0.20856596038558275, 0.20760882035996744, 0.20058243489587785, 0.2174732820187019, 0.24079794368209784, 0.23239554797643985, 0.2754813441121821, 0.22119882638767194, 0.24465431311933022, 0.289670962930155, 0.3069559366078964, 0.23745002127549292
1.8, 0.2647651821417665, 0.24017595476945108, 0.18177780541828728, 0.18894385011506673, 0.1851070869768748, 0.17779305214802094, 0.19846026103578848, 0.21829461616927906, 0.20948708502958327, 0.25507076459028555, 0.20133899321022972, 0.22323003573314915, 0.26868395399767353, 0.29006179892383827, 0.21528214121359163
1.9, 0.24430825262873132, 0.2199526637511303, 0.16304871639799684, 0.17011541401443409, 0.16381753061958018, 0.1560824386687041, 0.18023791868933497, 0.196748091957111, 0.18755681229430546, 0.23510973765502097, 0.18236608229909512, 0.20265748461031735, 0.24801498944166436, 0.2734798510270757, 0.19399633401960595
2.0, 0.22445374565905957, 0.20046549240557773, 0.14528216151585516, 0.15214150820683725, 0.1439329786799001, 0.13574986450113638, 0.16282687749646046, 0.17627495963534104, 0.16676855398962184, 0.2158043268747862, 0.1643739217293937, 0.18303577933446452, 0.2279252230299002, 0.2572621029950475, 0.17372756246468177
2.1, 0.20538959504789484, 0.18180012511731083, 0.12858050756065673, 0.1350879473347897, 0.1255934628195234, 0.11704155091935935, 0.14624523326213842, 0.1569687571183133, 0.14726177031483403, 0.19730900004628157, 0.14742971868953217, 0.16443739248280198, 0.20861638764095708, 0.24144845226934275, 0.1545931342618524
2.2, 0.18723968572595492, 0.1640203578270938, 0.1130382134029448, 0.11902925291429957, 0.1088833227127976, 0.1001303257759175, 0.13051543110833205, 0.13890433087200704, 0.12914867200143032, 0.17972251432036174, 0.1315787708877258, 0.14691553911665534, 0.19022048837634675, 0.22607343890147663, 0.1366922916456944
2.3, 0.17006924534824577, 0.14717371645498623, 0.0987335572361323, 0.1040479181272865, 0.0938329861169726, 0.08510322403861441, 0.11566926989606309, 0.1221396267186483, 0.11251048841777102, 0.16309455595289418, 0.1168485979915302, 0.13050992341596754, 0.17280665396841197, 0.21117246962164282, 0.12010393128147609
2.4, 0.15389891365113367, 0.13129685453200018, 0.08571914433499735, 0.09022797626153446, 0.08042432891234906, 0.07196019975651172, 0.10174990937456009, 0.10671548305347928, 0.09739421551927713, 0.1474384072956776, 0.10325188226798025, 0.1152504401757814, 0.15639735594923804, 0.196785344576323, 0.1048832023794151
2.5, 0.1387212062584842, 0.11641999612122617, 0.07401458756143248, 0.07764344011429226, 0.06859840603899837, 0.06062403679519228, 0.08880972787899812, 0.09265408638319458, 0.08381084056616772, 0.13274503855905392, 0.09078811126452764, 0.10115861579347936, 0.1409866106402289, 0.18295547523338312, 0.09105809159207523
2.6, 0.12451513971733755, 0.10256966275718245, 0.06360372595011703, 0.06634444218652545, 0.05826444285169678, 0.05095858258137208, 0.07690369374126549, 0.07995692885371546, 0.07173569044351846, 0.11899544019191155, 0.07944421692921176, 0.08824695914698989, 0.12655557151178062, 0.1697248130514961, 0.0786272037741111
2.7, 0.11125695277900077, 0.08976915829650735, 0.05443691003605821, 0.05634539637354359, 0.049309140916973776, 0.04279072194668115, 0.06607937984756955, 0.06860320475880792, 0.06111118031130883, 0.10616951513012476, 0.0691947216236934, 0.07651685189187664, 0.11308348313193292, 0.1571264672081085, 0.06755966837605372
2.8, 0.09892636588149317, 0.07803678463563737, 0.0464372574911649, 0.04761911523652198, 0.04160553411275635, 0.03593151282973688, 0.05636616496475708, 0.058549469368923544, 0.05185183720036959, 0.09425100324683826, 0.06000193352955009, 0.06595593703058429, 0.10055360444932791, 0.14517806887389598, 0.05779753328761552
2.9, 0.0875087250430772, 0.06738237386910273, 0.03950898570678511, 0.04009858425447712, 0.0350208249776886, 0.030193259828418684, 0.047766689290103526, 0.049731050376864705, 0.04385106991916362, 0.08322871809750347, 0.051816620733315166, 0.05653602155071908, 0.0889546642914005, 0.13387846425923455, 0.049260374222337186
3.0, 0.07699391259819352, 0.05780321089090841, 0.03354597002692568, 0.03368528194029603, 0.029422835968736297, 0.0254011593598281, 0.04025290049146025, 0.042065249311907645, 0.03698884177767485, 0.07309491963240383, 0.044579388052931546, 0.04821228062328508, 0.07827898998074774, 0.12320871006987934, 0.041851368751751356
3.1, 0.06737319904028571, 0.04928058306432785, 0.028439213791743526, 0.02826104319050582, 0.024684913291847174, 0.02139972217065685, 0.03376742391182849, 0.03545594294343231, 0.031139278486530277, 0.06384194962165791, 0.03822274834475079, 0.04092413758729153, 0.06851874730967494, 0.11313665924094861, 0.035463881134902495
3.2, 0.05863527764586376, 0.041777971854955465, 0.024082573670896525, 0.023700158766828645, 0.020689301951521622, 0.01805508174364097, 0.02822933578012751, 0.02979891642166275, 0.026177352762316766, 0.05545831411018292, 0.03267368754326509, 0.03459774421450263, 0.05966173052035874, 0.10362346256518247, 0.0299876747900233
