flowtime, whM2R1, whM2R2, whM2R3, whM2R4, whM2R5, whM2R6, whM2R7, whM2R8, whM2R9, whM2R10, whM2R11, whM2R12, whM2R13, whM2R14, whM2R15, whM2R16, whM2R17, whM2R18, whM2R19, whM2R20
1.0, 0.9958759612443662, 0.9964822648075877, 0.9964671755393916, 0.9965011007186863, 0.9964262989282807, 0.9963208958221591, 0.9958267371448093, 0.9964601676614835, 0.9965061903358334, 0.9961865629461458, 0.9962416222950002, 0.9965040385535809, 0.9965085833172396, 0.9964319954229609, 0.9963447124750605, 0.9964228019319967, 0.996509297340081, 0.9960640346656818, 0.9964302052784786, 0.9962532523451629
1.1, 0.9959397253765125, 0.9964838030347306, 0.9964705572317203, 0.9964992504035697, 0.9964353025202977, 0.9963342237467532, 0.995885404680386, 0.9964636518730913, 0.996505009946941, 0.9962106953484323, 0.9962652833150932, 0.996503205226382, 0.9965091135545758, 0.9964398067681114, 0.9963566559883658, 0.9964284040623149, 0.9965084135214427, 0.9961193560211159, 0.996435482526204, 0.9962710086798062
1.2, 0.9959878138544805, 0.9964799623216635, 0.9964680569124796, 0.9964922568236372, 0.9964378097764571, 0.9963396488869777, 0.9959282784933277, 0.9964613312714294, 0.9964987855788054, 0.9962253160204202, 0.9962793446258742, 0.9964973070420388, 0.9965044217766177, 0.996441264213713, 0.99636102817117, 0.9964278478059103, 0.9965024743027268, 0.9961599533996977, 0.996434366286952, 0.9962803252732443
1.3, 0.9960233997333923, 0.9964715297837938, 0.9964605723231198, 0.9964808543033623, 0.9964348231810365, 0.9963385953918902, 0.99595852311454, 0.9964540862002235, 0.9964882154808788, 0.9962322367558137, 0.9962856569415498, 0.9964870418607359, 0.9964952430465737, 0.9964373382080031, 0.99635912733933, 0.9964220874926498, 0.9964921795462923, 0.9961888269789254, 0.996427913240723, 0.9962827031413801
1.4, 0.9960487950606798, 0.9964591335339209, 0.9964488109000997, 0.9964656346935811, 0.9964271327433691, 0.9963321320804256, 0.995978451054709, 0.9964426130204329, 0.9964738689625925, 0.9962327993329106, 0.9962855758689517, 0.9964729794279068, 0.9964821722892654, 0.996428797734396, 0.9963519472257626, 0.9964118742426732, 0.9964780998962679, 0.9962081532670363, 0.9964169335321607, 0.9962792760284006
1.5, 0.9960657368792186, 0.9964432822751195, 0.9964333396417333, 0.9964470806459864, 0.9964153718798404, 0.9963210813759213, 0.9959898064574781, 0.9964274714962916, 0.9964562143536823, 0.9962280250341962, 0.9962801243499712, 0.9964555890375184, 0.9964656966714919, 0.9964162620389809, 0.996340264611971, 0.996397809646599, 0.996460704828455, 0.9962195583490715, 0.9964020628909971, 0.9962709223832561
1.6, 0.9960755628524124, 0.9964243927071305, 0.9964146190902856, 0.9964255894216044, 0.9964000553106536, 0.9963060891807481, 0.9959939384231834, 0.9964091172334743, 0.9964356396811781, 0.9962187083437211, 0.9962700930490432, 0.9964352600019223, 0.9964462187193256, 0.9964002360270786, 0.9963246970600891, 0.9963803820292372, 0.9964403833720354, 0.9962242874866455, 0.9963838092672003, 0.9962583364964765
1.7, 0.9960793239171277, 0.9964028092795508, 0.9963930274071425, 0.996401490518277, 0.9963816058305508, 0.9962876714351242, 0.9959919118753974, 0.9963879247943207, 0.9964124684004512, 0.9962054782986112, 0.9962561052317926, 0.9964123172385274, 0.996424073448442, 0.9963811355066429, 0.9963057424343039, 0.9963599920209867, 0.9964174598636997, 0.9962233144094678, 0.996362584387641, 0.9962420757979559
1.8, 0.9960778593744696, 0.996378818877497, 0.996368877960142, 0.9963750590526551, 0.9963603738386455, 0.9962662461677212, 0.9959845814075783, 0.9963642046949341, 0.9963869716041132, 0.9961888402027901, 0.9962386603220577, 0.9963870333783749, 0.996399541408992, 0.9963593057673517, 0.9962838068307984, 0.9963369712053504, 0.9963922061687214, 0.9962174141140406, 0.9963387259312998, 0.9962225935614875
1.9, 0.9960718486617549, 0.996352662006978, 0.9963424324923426, 0.9963465261155956, 0.9963366519577016, 0.9962421561956876, 0.9959726422426903, 0.9963382162180351, 0.9963593776381514, 0.9961692049177574, 0.9962181641087517, 0.9963596383132619, 0.9963728588246867, 0.9963350355953212, 0.9962592248500532, 0.9963115960838961, 0.996364851304845, 0.9962072128052641, 0.9963125136055899, 0.9962002622824638
