flowtime, wh1, wh2, wh3
15.4, 9.840267513696087e-7, 0.9908203241593456, -1.980818218247645
15.5, 9.556999911502851e-7, 0.9907986799212738, -1.9807113119293516
15.6, 9.281873296052073e-7, 0.9907772290014545, -1.9806052457319063
15.7, 9.01465501297938e-7, 0.9907559676981235, -1.9805000339087195
15.8, 8.755118983971889e-7, 0.9907348924209748, -1.9803956899897883
15.9, 8.503045523729516e-7, 0.9907139996889516, -1.9802922267834653
16.0, 8.258221162811144e-7, 0.9906932861277146, -1.9801896563804873
16.1, 8.020438474731617e-7, 0.9906727484674621, -1.980087990157833
16.2, 7.789495908265278e-7, 0.9906523835408985, -1.9799872387842026
16.3, 7.565197623263869e-7, 0.9906321882802592, -1.9798874122263659
16.4, 7.347353332141408e-7, 0.9906121597153146, -1.9797885197564242
16.5, 7.135778144769346e-7, 0.990592294970825, -1.9796905699597283
16.6, 6.930292418066652e-7, 0.9905725912638742, -1.9795935707438055
16.7, 6.730721609478669e-7, 0.990553045901667, -1.9794975293483907
16.8, 6.53689613433811e-7, 0.9905336562788208, -1.9794024523551328
16.9, 6.348651227345891e-7, 0.990514419874951, -1.9793083456991085
17.0, 6.165826807770461e-7, 0.9904953342522975, -1.9792152146806987
17.1, 5.988267348141538e-7, 0.9904763970530039, -1.9791230639771489
17.2, 5.815821746801966e-7, 0.9904576059970076, -1.9790318976561205
17.3, 5.648343203705374e-7, 0.9904389588793252, -1.978941719188929
17.4, 5.485689099764831e-7, 0.9904204535678591, -1.9788525314634278
17.5, 5.327720879347197e-7, 0.9904020880008622, -1.9787643367994958
17.6, 5.174303936406767e-7, 0.9903838601846546, -1.9786771369623395
17.7, 5.02530750313874e-7, 0.9903657681914994, -1.978590933178177
17.8, 4.880604542123959e-7, 0.9903478101570082, -1.9785057261487415
17.9, 4.7400716412858953e-7, 0.9903299842782836, -1.9784215160670389
18.0, 4.60358891184203e-7, 0.9903122888114689, -1.978338302632596
18.1, 4.4710398888650435e-7, 0.9902947220696813, -1.9782560850672075
