m, wheta0t10.0
2.49, -0.010579472504429433
2.5, -0.011360947437020184
2.51, -0.012400322033146432
2.52, -0.01379191466514111
2.53, -0.01564228702705634
2.54, -0.018052323274675253
2.55, -0.021084502242347977
2.56, -0.024726887978895048
2.57, -0.028883273163963927
2.58, -0.03341280406316513
2.59, -0.038198871046511054
2.6, -0.043193230630504856
2.61, -0.04840224150462304
2.62, -0.053821702846059145
2.63, -0.059337558274288944
2.64, -0.06461024021422097
2.65, -0.06900064926829927
2.66, -0.07166939316657561
2.67, -0.07192410183590987
2.68, -0.06956668412746321
2.69, -0.06484617569894531
2.7, -0.05808406320275767
2.71, -0.049396623316528374
2.72, -0.038702303221206436
2.73, -0.02593270011573383
2.74, -0.011329286032989131
2.75, 0.004322317159448916
2.76, 0.019731546166571252
2.77, 0.03347572146893883
2.78, 0.04444496468800396
2.79, 0.05207369069789751
2.8, 0.05633460843690925
2.81, 0.057593725526833055
2.82, 0.05640315979223899
2.83, 0.05330211596913431
2.84, 0.04868646402132145
2.85, 0.042766692660023364
2.86, 0.035595787107073285
2.87, 0.02713375648515159
2.88, 0.01731601266815066
2.89, 0.006097017778452734
2.9, -0.006554236719440999
2.91, -0.020722522651159533
2.92, -0.036685123524085816
2.93, -0.055126399311206414
2.94, -0.07744386405756705
2.95, -0.10613193074227796
2.96, -0.14491724531879205
2.97, -0.1971771153715534
2.98, -0.25982882955485354
2.99, -0.31533729482425205
3.0, -0.3379345461759502
