m, seta-20t10.0
1.58, 0.03245106069316348
1.59, 0.03246032745559789
1.6, 0.032469689827533586
1.61, 0.03247914782305368
1.62, 0.03248870144384889
1.63, 0.03249835068039224
1.64, 0.032508095513233484
1.65, 0.032517935914428114
1.66, 0.032527871849106604
1.67, 0.032537903277202566
1.68, 0.03254803015534274
1.69, 0.032558252438920264
1.7, 0.032568570084367025
1.71, 0.032578983051635674
1.72, 0.03258949130691868
1.73, 0.032600094825618965
1.74, 0.03261079359560502
1.75, 0.03262158762076628
1.76, 0.032632476924909226
1.77, 0.03264346155602282
1.78, 0.03265454159095614
1.79, 0.03266571714054407
1.8, 0.03267698835524374
1.81, 0.032688355431324125
1.82, 0.03269981861768502
1.83, 0.03271137822337475
1.84, 0.03272303462589012
1.85, 0.03273478828036309
1.86, 0.03274663972974154
1.87, 0.03275858961610196
1.88, 0.032770638693242406
1.89, 0.03278278784073551
1.9, 0.03279503807965028
1.91, 0.03280739059018096
1.92, 0.03281984673146954
1.93, 0.0328324080639478
1.94, 0.032845076374581623
1.95, 0.0328578537054714
1.96, 0.03287074238633172
1.97, 0.03288374507144757
1.98, 0.03289686478182264
1.99, 0.03291010495332784
2.0, 0.03301233235223251
2.01, 0.062212691708018165
2.02, 0.06221218348739513
2.03, 0.06221173136264319
2.04, 0.062211322067377194
2.05, 0.062210946498508314
2.06, 0.06221059815980044
2.07, 0.062210272266195694
2.08, 0.062209965199889375
2.09, 0.062209674165139874
2.1, 0.06220939696099788
2.11, 0.062209131826938935
2.12, 0.06220887733516342
2.13, 0.06220863231368301
2.14, 0.06220839579026418
2.15, 0.06220816695081311
2.16, 0.06220794510799252
2.17, 0.06220772967719509
2.18, 0.062207520157911346
2.19, 0.062207316119106335
2.2, 0.06220711718762111
2.21, 0.0622069230388653
2.22, 0.062206733389298934
2.23, 0.06220654799029664
2.24, 0.062206366623094735
2.25, 0.06220618909461775
2.26, 0.062206015233984294
2.27, 0.062205844889584555
2.28, 0.062205677926605765
2.29, 0.062205514224932784
2.3, 0.06220535367735639
2.31, 0.06220519618803508
2.32, 0.06220504167116742
2.33, 0.06220489004984592
2.34, 0.06220474125505824
2.35, 0.06220459522481636
2.36, 0.06220445190339005
2.37, 0.062204311240639
2.38, 0.062204173191417314
2.39, 0.062204037715051216
2.4, 0.06220390477487023
2.41, 0.06220377433779677
2.42, 0.06220364637397007
2.43, 0.06220352085642028
2.44, 0.06220339776076636
2.45, 0.06220327706495249
2.46, 0.06220315874900416
2.47, 0.062203042794811696
2.48, 0.06220292918593227
2.49, 0.06220281790741519
2.5, 0.0622027089456382
2.51, 0.0622026022881609
2.52, 0.062202497923592746
2.53, 0.06220239584147559
2.54, 0.06220229603216993
2.55, 0.06220219848675843
2.56, 0.06220210319695954
2.57, 0.06220201015504161
2.58, 0.06220191935375527
2.59, 0.06220183078626367
2.6, 0.0622017444460897
2.61, 0.06220166032705794
2.62, 0.06220157842325332
2.63, 0.06220149872897904
2.64, 0.062201421238722215
2.65, 0.062201345947121144
2.66, 0.062201272848942495
2.67, 0.06220120193905665
2.68, 0.0622011332124224
2.69, 0.062201066664069944
2.7, 0.062201002289093525
2.71, 0.06220094008263958
2.72, 0.06220088003990464
2.73, 0.06220082215613172
2.74, 0.06220076642661034
2.75, 0.062200712846678385
2.76, 0.062200661411725804
2.77, 0.06220061211720204
2.78, 0.06220056495861872
2.79, 0.062200519931564516
2.8, 0.06220047703170772
2.81, 0.06220043625481105
2.82, 0.06220039759674244
2.83, 0.06220036105348265
2.84, 0.06220032662114382
2.85, 0.06220029429597444
2.86, 0.06220026407437849
2.87, 0.06220023595292008
2.88, 0.062200209928344505
2.89, 0.06220018599758183
2.9, 0.06220016415776258
2.91, 0.06220014440622824
2.92, 0.06220012674053942
2.93, 0.06220011115848592
2.94, 0.06220009765810065
2.95, 0.062200086237657416
2.96, 0.06220007689568594
2.97, 0.062200069630973395
2.98, 0.06220006444257318
2.99, 0.06220006132980539
3.0, 0.06220006029226213
